Year,water_condition,totalWater_m,GDD,FIPS,Crop,yield_kgHa_pred_fixed
2051,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,5942.745664842556
2052,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3461.531837034043
2052,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4979.76808811872
2052,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,6037.391651499149
2053,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3459.048025506833
2053,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5018.927451275403
2053,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,6132.037638155742
2054,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3456.5642139796228
2054,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5058.086814432087
2054,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,6226.683624812335
2055,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3454.0804024524127
2055,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5097.246177588771
2055,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,6321.329611468929
2056,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3451.596590925202
2056,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5136.405540745455
2056,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,6415.975598125521
2057,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3449.112779397992
2057,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5175.564903902139
2057,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,6510.621584782115
2058,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3446.6289678707817
2058,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5214.724267058823
2058,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,6605.267571438708
2059,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3444.145156343571
2059,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5253.883630215507
2059,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,6699.913558095301
2060,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3441.661344816361
2060,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5293.042993372191
2060,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,6794.559544751894
2061,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3439.1775332891507
2061,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5332.202356528875
2061,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,6889.205531408486
2062,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3436.6937217619407
2062,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5371.3617196855585
2062,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,6983.851518065079
2063,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3434.209910234731
2063,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5410.521082842242
2063,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,7078.497504721672
2064,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3431.726098707521
2064,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5449.680445998926
2064,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,7173.143491378266
2065,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3429.242287180311
2065,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5488.839809155609
2065,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,7267.789478034859
2066,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3426.758475653101
2066,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5527.999172312293
2066,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,7362.435464691453
2067,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3424.2746641258914
2067,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5567.158535468977
2067,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,7457.081451348045
2068,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3421.7908525986804
2068,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5606.317898625661
2068,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,7551.727438004638
