Year,water_condition,Crop,model,totalWater_m,GDD,FIPS,predicted_yield
2088,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2088,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2089,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2089,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2089,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2090,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2090,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2090,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2091,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2091,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2091,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2092,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2092,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2092,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2093,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2093,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2093,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2094,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2094,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2094,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2095,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2095,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2095,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2096,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2096,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2096,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2097,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2097,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2097,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2098,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2098,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2098,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2099,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2099,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2099,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2100,dry,Corn,current,0.6174165495675057,2200.3958953857455,20005,9707.614880925588
2100,median,Corn,current,0.8222640674471555,2200.3958953857455,20005,11214.02469555685
2100,wet,Corn,current,1.0341520756468983,2200.3958953857455,20005,11046.251649155829
2006,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2006,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2006,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2007,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2007,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2007,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2008,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2008,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2008,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2009,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2009,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2009,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2010,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2010,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2010,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2011,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2011,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2011,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2012,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2012,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2012,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2013,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2013,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2013,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2014,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2014,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2014,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2015,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2015,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2015,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2016,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2016,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2016,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2017,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2017,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2017,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2018,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2018,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2018,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2019,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2019,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2019,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2020,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2020,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2020,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2021,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2021,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2021,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2022,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2022,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2022,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2023,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2023,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2023,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2024,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2024,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2024,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2025,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2025,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2025,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2026,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2026,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2026,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2027,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2027,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2027,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2028,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2028,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2028,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2029,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2029,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2029,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2030,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2030,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2030,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2031,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2031,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2031,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2032,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2032,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2032,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2033,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2033,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2033,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2034,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2034,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2034,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2035,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2035,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2035,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2036,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2036,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2036,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2037,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2037,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2037,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2038,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2038,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2038,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2039,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2039,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2039,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2040,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2040,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2040,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2041,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2041,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2041,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2042,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2042,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2042,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2043,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2043,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2043,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2044,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2044,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
2044,wet,Sorghum,current,0.9026705722184267,2278.2436654262738,20061,6626.5722683343765
2045,dry,Sorghum,current,0.551837659631701,2278.2436654262738,20061,5534.0943120777165
2045,median,Sorghum,current,0.6963730397479594,2278.2436654262738,20061,6367.35245007257
