Year,FIPS,Crop,observed_difference_kgHa,detrended_difference_kgHa
1999,20103,Corn,3872.769074484355,4676.196046176407
2000,20103,Corn,2680.1821633789605,2937.529865249071
2001,20103,Corn,3653.0820119123073,4243.098694248659
2002,20103,Corn,5322.703687459856,6452.522866401805
2003,20103,Corn,4757.794097988883,5617.712028628033
2004,20103,Corn,2240.808038234869,2253.3615846675566
2005,20103,Corn,4142.670322787153,4701.3031390417855
2006,20103,Corn,5291.319821378134,6050.80938055578
2007,20103,Corn,3458.502042205636,3784.894249455532
2008,20103,Corn,2837.101493787567,3025.40469027789
2009,20103,Corn,1996.013882797446,2008.567429230132
2010,20103,Corn,2755.50344197509,2962.636958114448
2011,20103,Corn,2579.7537919174556,2755.503441975089
2012,20103,Corn,7061.3698683871935,7802.029107915806
2013,20103,Corn,3276.4756189316568,3458.502042205637
2014,20103,Corn,3081.8956492249854,3194.8775671191815
2015,20103,Corn,2071.3351613935774,2102.7190274752975
2016,20103,Corn,2611.1376579991747,2692.7357098116463
2017,20103,Corn,3427.118176123913,3521.269774369077
2018,20103,Corn,4914.713428397484,5090.463078455121
2019,20103,Corn,2140.3796667733623,2165.4867596387385
2020,20103,Corn,2573.477018701111,2592.307338350145
2021,20103,Corn,3728.403290508437,3766.0639298065
1990,20117,Corn,2096.4422542589546,4864.49924266673
1991,20117,Corn,2780.6105348404676,5655.372667926097
1992,20117,Corn,772.0431056103334,2441.6647811578805
1993,20117,Corn,935.239209235282,2096.442254258952
1994,20117,Corn,1123.542405725606,2780.610534840469
1995,20117,Corn,1631.961036249484,3358.073670744132
1996,20117,Corn,2699.0124830279938,5178.33790348394
1997,20117,Corn,1952.0764702830365,3791.1710226718806
1998,20117,Corn,1926.9693774176576,3659.358785128652
1999,20117,Corn,2686.4589365953034,4607.15154079662
2000,20117,Corn,2002.2906560137899,3508.716227936393
2001,20117,Corn,1933.246150634005,3358.07367074413
2002,20117,Corn,6716.147341488263,9741.552031766152
2003,20117,Corn,6672.209928973854,9528.14174241045
2004,20117,Corn,2422.83446150885,3853.9387548353225
2005,20117,Corn,4594.597994363933,6578.058330728691
2006,20117,Corn,4613.4283140129655,6358.371268156645
2007,20117,Corn,3207.43111355187,4469.062530037052
2008,20117,Corn,2002.2906560137908,2881.038906301972
2009,20117,Corn,3332.9665778787567,4475.339303253395
2010,20117,Corn,3150.940154604771,4086.179363840057
2011,20117,Corn,3389.45753682585,4299.589653195757
2012,20117,Corn,4525.553488984146,5492.176564301149
2013,20117,Corn,3094.449195657673,3803.7245691045646
2014,20117,Corn,4456.508983604361,5272.4895017291
2015,20117,Corn,1029.390807480444,1311.8456022159298
2016,20117,Corn,3169.7704742538044,3627.974919046932
2017,20117,Corn,7230.842745228487,7984.055531189783
2018,20117,Corn,6075.916473421158,6615.718970026759
2019,20117,Corn,1644.51458268217,1801.4339130907792
2020,20117,Corn,2466.7718740232576,2629.967977648206
2021,20117,Corn,3935.536806647793,4079.902590623713
1990,20127,Corn,3546.376867234456,5793.461678685669
1991,20127,Corn,4494.1696229024265,6992.325363007406
1992,20127,Corn,1242.8010968361468,2303.5757703983127
1993,20127,Corn,-338.94575368258575,-244.7941554374229
1994,20127,Corn,244.7941554374229,684.1682805815144
1995,20127,Corn,2454.218327590572,3728.4032905084387
1996,20127,Corn,4512.999942551459,6596.888650377721
1997,20127,Corn,2190.5938525041156,3351.796897527787
1998,20127,Corn,3665.635558344996,5241.105635647382
1999,20127,Corn,3973.197445945859,5536.113976815557
2000,20127,Corn,4845.6689230177,6578.058330728689
2001,20127,Corn,3565.207186883489,4820.561830152325
2002,20127,Corn,6879.343445113211,8925.57151364141
2003,20127,Corn,6879.343445113211,8843.973461828935
2004,20127,Corn,4029.6884048929587,5253.6591820800695
2005,20127,Corn,5115.570171320499,6471.353186050843
2006,20127,Corn,6031.979060906746,7463.083354233218
2007,20127,Corn,4017.134858460272,4964.927614128239
2008,20127,Corn,5303.873367810825,6433.692546752775
2009,20127,Corn,2447.9415543742234,3019.127917061547
2010,20127,Corn,2259.6383578839013,2717.842802677027
2011,20127,Corn,7638.833004290856,8787.48250288184
2012,20127,Corn,8002.885850838817,9095.044390482703
2013,20127,Corn,4638.53540687834,5266.21272851276
2014,20127,Corn,5159.507583834908,5774.631359036635
