FIPS,name,Date,Year,Month,Day,precip_mm_gridmet,tmmn_C_gridmet,tmmx_C_gridmet
20087,Jefferson,2021-01-26,2021,1,26,2.3285131454467773,-6.254278564453102,-3.3319152832031023
20087,Jefferson,2021-01-27,2021,1,27,0,-6.465979003906227,-2.2782043457031023
20087,Jefferson,2021-01-28,2021,1,28,0,-4.083868408203102,1.0579162597656477
20087,Jefferson,2021-01-29,2021,1,29,0,-1.9680541992187273,10.098016357421898
20087,Jefferson,2021-01-30,2021,1,30,22.776371002197266,-0.19089355468747726,10.104699707031273
20087,Jefferson,2021-01-31,2021,1,31,0,-2.3187927246093523,2.1686340332031477
20087,Jefferson,2021-02-01,2021,2,1,0,-5.048651123046852,3.8186584472656477
20087,Jefferson,2021-02-02,2021,2,2,0,-4.375341796874977,5.038323974609398
20087,Jefferson,2021-02-03,2021,2,3,0,-1.7412780761718523,15.188897705078148
20087,Jefferson,2021-02-04,2021,2,4,0.47432827949523926,-4.368139648437477,3.4483886718750227
20087,Jefferson,2021-02-05,2021,2,5,0,-6.355230712890602,5.668023681640648
20087,Jefferson,2021-02-06,2021,2,6,1.3828856945037842,-15.595007324218727,-4.986273193359352
20087,Jefferson,2021-02-07,2021,2,7,1.4271435737609863,-15.122229003906227,-13.368902587890602
20087,Jefferson,2021-02-08,2021,2,8,0.1439516544342041,-15.017492675781227,-13.409857177734352
20087,Jefferson,2021-02-09,2021,2,9,0.22116459906101227,-14.434515380859352,-10.153326416015602
20087,Jefferson,2021-02-10,2021,2,10,0,-12.997351074218727,-9.895269775390602
20087,Jefferson,2021-02-11,2021,2,11,0,-17.878515624999977,-9.925268554687477
20087,Jefferson,2021-02-12,2021,2,12,0,-18.84911193847654,-14.103948974609352
20087,Jefferson,2021-02-13,2021,2,13,0.0024260918144136667,-18.917242431640602,-13.645666503906227
20087,Jefferson,2021-02-14,2021,2,14,2.279923677444458,-23.292242431640602,-16.865332031249977
20087,Jefferson,2021-02-15,2021,2,15,3.187790870666504,-27.05071105957029,-18.943197631835915
20087,Jefferson,2021-02-16,2021,2,16,0.2994607985019684,-27.22118225097654,-12.860449218749977
20087,Jefferson,2021-02-17,2021,2,17,0.056965820491313934,-15.876043701171852,-5.310034179687477
20087,Jefferson,2021-02-18,2021,2,18,0,-15.355139160156227,-3.1797851562499773
20087,Jefferson,2021-02-19,2021,2,19,0,-12.610876464843727,2.4574218750000227
20087,Jefferson,2021-02-20,2021,2,20,0.014962266199290752,-6.954534912109352,6.139733886718773
20087,Jefferson,2021-02-21,2021,2,21,0,-2.6533264160156023,6.203515625000023
20087,Jefferson,2021-02-22,2021,2,22,0,-2.5439819335937273,16.012445068359398
20087,Jefferson,2021-02-23,2021,2,23,0,-0.38431396484372726,21.076196289062523
20087,Jefferson,2021-02-24,2021,2,24,0,-3.8851684570312273,6.946160888671898
20087,Jefferson,2021-02-25,2021,2,25,0,-4.520391845703102,7.274987792968773
20087,Jefferson,2021-02-26,2021,2,26,0,-2.1593688964843523,11.303552246093773
20087,Jefferson,2021-02-27,2021,2,27,0,1.0089660644531477,18.328179931640648
20087,Jefferson,2021-02-28,2021,2,28,0,-5.323309326171852,10.620751953125023
20087,Jefferson,2021-03-01,2021,3,1,0,-4.788732910156227,12.812951660156273
20087,Jefferson,2021-03-02,2021,3,2,0,-3.2250122070312273,17.801843261718773
20087,Jefferson,2021-03-03,2021,3,3,0,0.15032348632814774,21.723626708984398
20087,Jefferson,2021-03-04,2021,3,4,0,0.9791198730468977,22.373406982421898
20087,Jefferson,2021-03-05,2021,3,5,0,1.1085449218750227,15.579614257812523
20087,Jefferson,2021-03-06,2021,3,6,0,0.8990417480468977,19.930688476562523
20087,Jefferson,2021-03-07,2021,3,7,0,5.959771728515648,20.130487060546898
20087,Jefferson,2021-03-08,2021,3,8,0,7.741632080078148,22.051232910156273
20087,Jefferson,2021-03-09,2021,3,9,0,12.509362792968773,24.037103271484398
20087,Jefferson,2021-03-10,2021,3,10,0.023117953911423683,2.0274291992187727,25.169793701171898
20087,Jefferson,2021-03-11,2021,3,11,0,1.5566345214843977,15.535211181640648
20087,Jefferson,2021-03-12,2021,3,12,6.074405193328857,4.991448974609398,8.496301269531273
20087,Jefferson,2021-03-13,2021,3,13,6.36257266998291,6.762719726562523,10.501641845703148
20087,Jefferson,2021-03-14,2021,3,14,29.72151756286621,6.013146972656273,9.672021484375023
20087,Jefferson,2021-03-15,2021,3,15,1.3552166223526,5.939874267578148,11.635858154296898
20087,Jefferson,2021-03-16,2021,3,16,23.812440872192383,5.485284423828148,12.513085937500023
20087,Jefferson,2021-03-17,2021,3,17,7.855947017669678,1.5396057128906477,6.415216064453148
20087,Jefferson,2021-03-18,2021,3,18,0,-1.1407226562499773,10.590356445312523
20087,Jefferson,2021-03-19,2021,3,19,0,-1.6904357910156023,14.100915527343773
20087,Jefferson,2021-03-20,2021,3,20,0,-0.19263305664060226,17.311944580078148
20087,Jefferson,2021-03-21,2021,3,21,0.081047162413597107,7.641137695312523,19.860986328125023
20087,Jefferson,2021-03-22,2021,3,22,6.14016580581665,10.724328613281273,18.078271484375023
20087,Jefferson,2021-03-23,2021,3,23,5.175178050994873,6.883630371093773,13.677239990234398
20087,Jefferson,2021-03-24,2021,3,24,1.2002253532409668,5.405969238281273,9.680749511718773
20087,Jefferson,2021-03-25,2021,3,25,2.727529525756836,0.7382446289062727,8.009881591796898
20087,Jefferson,2021-03-26,2021,3,26,8.4728240966796875,1.0058227539062727,17.861016845703148
20087,Jefferson,2021-03-27,2021,3,27,0,0.7002197265625227,15.844445800781273
20087,Jefferson,2021-03-28,2021,3,28,0,1.0058837890625227,16.745263671875023
20087,Jefferson,2021-03-29,2021,3,29,0,8.738793945312523,24.632684326171898
20087,Jefferson,2021-03-30,2021,3,30,0,-1.5489868164062273,13.936791992187523
20087,Jefferson,2021-03-31,2021,3,31,0,-3.5788024902343523,11.504907226562523
20087,Jefferson,2021-04-01,2021,4,1,0,-3.0477661132812273,12.240197753906273
20087,Jefferson,2021-04-02,2021,4,2,0,3.4718872070312727,20.337060546875023
20087,Jefferson,2021-04-03,2021,4,3,0,8.980340576171898,24.041741943359398
20087,Jefferson,2021-04-04,2021,4,4,0,11.096582031250023,26.620599365234398
20087,Jefferson,2021-04-05,2021,4,5,0,13.494439697265648,26.153710937500023
20087,Jefferson,2021-04-06,2021,4,6,9.92630672454834,12.685266113281273,22.732629394531273
20087,Jefferson,2021-04-07,2021,4,7,7.139693737030029,7.449792480468773,14.973931884765648
20087,Jefferson,2021-04-08,2021,4,8,4.93013858795166,3.9274536132812727,13.181420898437523
20087,Jefferson,2021-04-09,2021,4,9,13.693723678588867,4.838525390625023,21.335198974609398
20087,Jefferson,2021-04-10,2021,4,10,0.8192221522331238,2.7707763671875227,15.849450683593773
20087,Jefferson,2021-04-11,2021,4,11,0,3.7452331542968977,24.040093994140648
20087,Jefferson,2021-04-12,2021,4,12,0,2.2600036621093977,14.951409912109398
20087,Jefferson,2021-04-13,2021,4,13,0,2.3791137695312727,15.208245849609398
20087,Jefferson,2021-04-14,2021,4,14,0,0.9730773925781477,13.979547119140648
20087,Jefferson,2021-04-15,2021,4,15,0.052706677466630936,1.9375549316406477,14.057611083984398
20087,Jefferson,2021-04-16,2021,4,16,8.08509349822998,4.359735107421898,8.330377197265648
20087,Jefferson,2021-04-17,2021,4,17,0.6776208877563477,3.7564636230468977,13.095056152343773
20087,Jefferson,2021-04-18,2021,4,18,0.07360617071390152,3.2470642089843977,15.071588134765648
20087,Jefferson,2021-04-19,2021,4,19,4.945472240447998,-0.6332763671874773,9.991296386718773
20087,Jefferson,2021-04-20,2021,4,20,1.6038930416107178,-1.0665649414062273,7.228936767578148
20087,Jefferson,2021-04-21,2021,4,21,6.788474274799228e-4,-2.7656921386718523,8.503747558593773
20087,Jefferson,2021-04-22,2021,4,22,0,-0.5993408203124773,13.403222656250023
20087,Jefferson,2021-04-23,2021,4,23,2.6026124954223633,6.180108642578148,11.626428222656273
20087,Jefferson,2021-04-24,2021,4,24,0,5.378991699218773,18.228662109375023
20087,Jefferson,2021-04-25,2021,4,25,0,8.512139892578148,23.914422607421898
20087,Jefferson,2021-04-26,2021,4,26,0,16.157006835937523,29.178674316406273
20087,Jefferson,2021-04-27,2021,4,27,0,16.155236816406273,25.099450683593773
20087,Jefferson,2021-04-28,2021,4,28,8.923857688903809,10.875268554687523,21.702905273437523
20087,Jefferson,2021-04-29,2021,4,29,0,7.187249755859398,24.831781005859398
20087,Jefferson,2021-04-30,2021,4,30,0,9.048547363281273,26.981378173828148
20087,Jefferson,2021-05-01,2021,5,1,0,14.778100585937523,27.240960693359398
20087,Jefferson,2021-05-02,2021,5,2,1.0348021984100342,14.844476318359398,24.134149169921898
20087,Jefferson,2021-05-03,2021,5,3,2.517183542251587,8.751794433593773,20.844262695312523
20087,Jefferson,2021-05-04,2021,5,4,0,2.3197265625000227,18.725274658203148
20087,Jefferson,2021-05-05,2021,5,5,1.639399766921997,5.455072021484398,21.337213134765648
20087,Jefferson,2021-05-06,2021,5,6,0,5.763848876953148,18.190423583984398
20087,Jefferson,2021-05-07,2021,5,7,0.7436444759368896,8.848840332031273,21.589746093750023
20087,Jefferson,2021-05-08,2021,5,8,36.915870666503906,7.075799560546898,26.026574707031273
20087,Jefferson,2021-05-09,2021,5,9,0,4.769952392578148,11.747766113281273
20087,Jefferson,2021-05-10,2021,5,10,0,6.642358398437523,17.177941894531273
20087,Jefferson,2021-05-11,2021,5,11,0,7.931359863281273,16.505395507812523
20087,Jefferson,2021-05-12,2021,5,12,0,4.429040527343773,17.874902343750023
20087,Jefferson,2021-05-13,2021,5,13,0,8.322137451171898,20.480523681640648
20087,Jefferson,2021-05-14,2021,5,14,9.4393157958984375,11.945947265625023,23.155145263671898
20087,Jefferson,2021-05-15,2021,5,15,12.028669357299805,13.012475585937523,21.495355224609398
20087,Jefferson,2021-05-16,2021,5,16,24.916444778442383,13.565545654296898,19.587396240234398
20087,Jefferson,2021-05-17,2021,5,17,0.9984638690948486,15.903009033203148,21.926354980468773
20087,Jefferson,2021-05-18,2021,5,18,5.5497727394104,16.860284423828148,25.806298828125023
20087,Jefferson,2021-05-19,2021,5,19,24.731643676757812,16.523492431640648,22.391229248046898
20087,Jefferson,2021-05-20,2021,5,20,15.5215482711792,17.141809082031273,21.662683105468773
20087,Jefferson,2021-05-21,2021,5,21,0.6816874742507935,19.264367675781273,25.018670654296898
20087,Jefferson,2021-05-22,2021,5,22,3.4073987007141113,16.709436035156273,22.243524169921898
20087,Jefferson,2021-05-23,2021,5,23,1.1869778633117676,17.920617675781273,24.663537597656273
20087,Jefferson,2021-05-24,2021,5,24,0,18.646752929687523,25.402917480468773
20087,Jefferson,2021-05-25,2021,5,25,0.014027196913957596,17.550225830078148,26.093682861328148
20087,Jefferson,2021-05-26,2021,5,26,15.759784698486328,16.945703125000023,29.980401611328148
20087,Jefferson,2021-05-27,2021,5,27,6.572916030883789,10.242028808593773,25.026116943359398
20087,Jefferson,2021-05-28,2021,5,28,0,8.745446777343773,14.948114013671898
20087,Jefferson,2021-05-29,2021,5,29,0,7.904199218750023,18.872949218750023
20087,Jefferson,2021-05-30,2021,5,30,3.8153607845306396,10.989160156250023,19.072015380859398
20087,Jefferson,2021-05-31,2021,5,31,8.57297134399414,12.950677490234398,17.347558593750023
20087,Jefferson,2021-06-01,2021,6,1,0,11.614343261718773,22.780084228515648
20087,Jefferson,2021-06-02,2021,6,2,0,13.342797851562523,24.493676757812523
20087,Jefferson,2021-06-03,2021,6,3,0,14.269982910156273,27.859033203125023
20087,Jefferson,2021-06-04,2021,6,4,0,18.034997558593773,30.767785644531273
20087,Jefferson,2021-06-05,2021,6,5,0,17.916070556640648,29.360650634765648
