Year,Crop,waterUse_m3,n_waterUse_NA,irrArea_ha,n_irrArea_NA
2004,Sorghum,14530.416046309549,0,12.140569266,0
2004,Soybeans,3442894.5049625817,0,4619.486605712999,0
2004,Unknown,111051553.97696546,0,36.421707798,159
2004,Wheat,6352.431463369625,0,28.327994953999998,0
2005,Alfalfa,119351.7026010961,0,84.983984862,0
2005,Corn,10285227.949750947,0,6480.2311885486,0
2005,Golf Course/Turf/Sod,337875.34494101116,0,98.7432966968,0
2005,Multi-Crop,8880933.54733987,0,6572.094829328,0
2005,Other Crop,1055206.7075667598,0,634.5470869696,0
2005,Soybeans,7105990.187564143,0,5233.1923821093,0
2005,Unknown,107472594.09050302,0,0,169
2006,Alfalfa,92104.08880967181,0,86.60272743079999,0
2006,Corn,14381621.132246194,0,7324.203095356699,0
2006,Golf Course/Turf/Sod,294987.1814494846,0,95.5058115592,0
2006,Multi-Crop,11428529.93015535,0,6507.7498122182,0
2006,Other Crop,1051481.5924173663,0,624.0252602723999,0
2006,Soybeans,7784232.510758012,0,5262.5320911687995,0
2006,Unknown,140958899.98505667,0,0,159
2007,Alfalfa,103982.51890525426,0,64.74970275199999,0
2007,Corn,11555455.211238988,0,9301.2948003248,0
2007,Golf Course/Turf/Sod,268417.98266871145,0,94.29175463259999,0
2007,Multi-Crop,6333078.1333385045,0,5067.473611628399,0
2007,Other Crop,734883.8091740495,0,591.6504088964,0
2007,Sorghum,127134.97299602084,0,52.60913348599999,0
2007,Soybeans,5026093.113091549,0,4216.6220489029,0
2007,Unknown,150387129.42371637,0,0,159
2007,Wheat,20019.410223395924,0,28.327994953999998,0
2008,Alfalfa,136386.08677762706,0,237.5504719714,0
2008,Corn,6793820.604117622,0,7300.1242996457995,0
2008,Golf Course/Turf/Sod,197369.42882597545,0,86.1980417886,0
2008,Multi-Crop,4048657.435382159,0,4989.773968326,0
2008,Other Crop,377174.0762852745,0,538.6365897682,0
2008,Sorghum,17293.415362415948,0,24.281138532,0
2008,Soybeans,3983097.8757165093,0,5045.6205869496,0
2008,Unknown,163696164.08930475,0,0,158
2009,Corn,2954781.0722082853,0,6006.3443015324,0
2009,Golf Course/Turf/Sod,145328.83009984644,0,128.2853485774,0
2009,Multi-Crop,1456199.3181350764,0,3961.0630658535997,0
2009,Other Crop,348409.2798336668,0,279.233093118,0
2009,Sorghum,727.754284153025,0,2.0234282109999997,0
2009,Soybeans,1071587.3463693906,0,3101.7131046419,0
2009,Unknown,151541310.71392792,0,0,154
2010,Alfalfa,64474.09564860782,0,93.48238334819999,0
2010,Corn,6735933.301481518,0,7944.9908704915,0
2010,Golf Course/Turf/Sod,225591.49326906225,0,105.62295261419999,0
2010,Multi-Crop,3913233.464437819,0,4465.7060616769995,0
2010,Other Crop,371031.33673428796,0,361.78896412679995,0
2010,Sorghum,42703.141215894444,0,50.585705274999995,0
2010,Soybeans,6044690.079719899,0,5861.0621559825995,0
2010,Unknown,168227840.67745212,0,0,163
2011,Alfalfa,130502.3784125255,0,79.3183858712,0
2011,Corn,17653789.416073825,0,9007.0883384454,0
2011,Golf Course/Turf/Sod,272587.151279622,0,110.4791803206,0
2011,Multi-Crop,8678642.52598208,0,4851.7761643358,0
2011,Other Crop,956330.8034689522,0,445.15420642,0
2011,Sorghum,82211.56447254086,0,48.96696270619999,0
2011,Soybeans,10359397.212642679,0,5865.3113552257,0
2011,Unknown,164581865.72275573,0,0,170
2011,Wheat,15467.862242845647,0,28.327994953999998,0
2012,Alfalfa,239998.56113161705,0,99.55266798119999,0
2012,Corn,21597502.216717444,0,8944.969092367699,0
2012,Golf Course/Turf/Sod,380936.1958897944,0,107.6463808252,0
2012,Multi-Crop,46086063.833915465,0,5481.8717092412,4
2012,Other Crop,1918125.9314782398,0,564.9411565112,0
2012,Sorghum,121436.28690655137,0,52.609133486,0
2012,Soybeans,11461895.61386101,0,5448.6874865807995,0
2012,Unknown,154309774.35457465,0,0,169
2013,Alfalfa,35635.29028674727,0,26.7092523852,0
2013,Corn,15514290.499210937,0,10224.7874358252,0
2013,Golf Course/Turf/Sod,256675.23557525928,0,102.38546747659998,0
2013,Multi-Crop,6783533.365592476,0,5345.087962177599,0
2013,Other Crop,948350.1759800198,0,680.2765645382,0
2013,Sorghum,180248.70092081616,0,132.3322049994,0
2013,Soybeans,7104608.68790609,0,5181.3926199077,1
2013,Unknown,170930029.33896744,0,6.4749702752,171
2014,Alfalfa,28382.417081967975,0,67.1778166052,0
2014,Corn,14578213.467514515,0,9142.455685761299,0
2014,Golf Course/Turf/Sod,252876.11151561298,0,102.38546747659998,0
2014,Multi-Crop,6276769.687454461,0,5026.6003617662,0
2014,Other Crop,842973.822598337,0,719.5310718316,0
2014,Sorghum,629.075737149225,0,2.0234282109999997,0
2014,Soybeans,9068373.447373588,0,6909.8049977439,0
2014,Unknown,174747297.91644406,0,14.5686831192,177
2015,Corn,3793240.351281198,0,6808.026558730599,0
2015,Golf Course/Turf/Sod,334902.6537125217,0,110.4791803206,0
2015,Multi-Crop,2268767.8134378674,0,3867.9853681475997,0
2015,Other Crop,405087.7702689745,0,540.6600179792,0
2015,Soybeans,3761798.8992421124,0,5814.3209643085,0
2015,Unknown,141849819.24668047,0,343.98279586999996,168
2016,Alfalfa,76956.93184458851,0,18.210853899,0
2016,Corn,11507435.763303263,0,10021.0282149775,0
2016,Golf Course/Turf/Sod,308382.79420525045,0,117.358836238,0
2016,Multi-Crop,3588482.3662483133,0,4453.5654924109995,0
2016,Other Crop,432989.1294342989,0,425.7292955944,0
2016,Sorghum,24928.667936834972,0,21.448339036599997,0
2016,Soybeans,3405014.2777314982,0,5721.850295065799,0
2016,Unknown,152077480.59907308,0,408.732498622,164
2017,Alfalfa,10903.9794439199,0,16.187425687999998,0
2017,Corn,10047486.660382042,0,8539.6764217044,0
2017,Golf Course/Turf/Sod,486028.8484488414,0,117.358836238,0
2017,Multi-Crop,5487945.71752446,0,5491.584164653999,0
2017,Other Crop,471621.78058628656,0,334.2703404572,0
2017,Soybeans,8891677.174144909,0,8097.557357600899,0
2017,Unknown,155809022.18884015,0,0,160
2018,Alfalfa,36042.33929313795,0,29.5420518806,0
2018,Corn,18148958.364938896,0,9632.5299984655,0
2018,Golf Course/Turf/Sod,1382215.0775189775,0,446.3682633466,0
2018,Multi-Crop,8531882.856950678,0,5306.0357977053,0
2018,Other Crop,391408.45669057267,0,190.20225183399998,0
2018,Sorghum,54963.95068111659,0,44.1107349998,0
2018,Soybeans,9335582.617841503,0,6917.8987105879,0
2018,Unknown,143372700.59295335,0,0,164
2018,Wheat,456.388279892575,0,16.187425687999998,0
2019,Corn,6437652.723525781,0,8659.0586861534,0
2019,Golf Course/Turf/Sod,467773.3172531384,0,366.24050619099995,0
2019,Multi-Crop,3369983.393545149,0,5062.4150411008995,0
2019,Other Crop,279482.31475151255,0,381.61856059459996,0
2019,Sorghum,1640.530843938175,0,25.8998811008,0
2019,Soybeans,2378128.3131548287,0,4999.6887665599,0
2019,Unknown,125587273.99517646,0,0,170
2020,Alfalfa,10410.586708900899,0,29.5420518806,0
2020,Corn,8527442.322335508,0,9794.4042553455,0
2020,Golf Course/Turf/Sod,802762.3146942884,0,398.21067192479995,0
2020,Multi-Crop,3898616.7046628813,0,5709.5073829787,0
2020,Other Crop,281628.5731488452,0,246.45355609979998,0
2020,Sorghum,24.669636750949998,0,0.4046856422,0
2020,Soybeans,4340610.251511277,0,6123.500794949299,0
2020,Unknown,139709543.23625994,0,0,165
2020,Wheat,2466.963675095,0,2.0234282109999997,0
2021,Alfalfa,19390.3344862467,0,29.5420518806,0
