Year,Month,precip_mm_prism,precip_mm_gridmet,etr_mm_gridmet,tmmx_C_gridmet,tmmn_C_gridmet,srad_wpm2_gridmet,wind_mps_gridmet,rhmax_pct_gridmet,rhmin_pct_gridmet,vpd_kpa_gridmet
1997,6,49.52628688675036,55.536576584283054,198.1930910171988,29.0094027282818,16.827723840517322,284.2120243220466,3.587282694411318,90.37065285976982,44.83647574542144,1.0981774789989498
1997,7,83.61316344916882,87.92653403671153,228.8872723104982,31.867934763813523,19.89994796058181,279.8228276785067,4.072272404651416,94.08642830937146,44.55271428511878,1.3196802902181475
1997,8,100.04302392785131,101.16337969808716,181.16510451332513,30.023018457113615,18.34796780205097,238.1437299191248,3.3151683952112827,94.90697917327108,46.74160544023948,1.0748667917504882
1997,9,71.22707326953727,74.17333045966207,159.25668072022032,27.2380372328863,14.387802942285672,191.93987436278474,3.9669394551400994,95.40454092556469,43.30618567892914,0.9927068292391039
1997,10,101.66715102083023,100.35493320731752,131.30164009101475,20.26695567447864,8.314679840242302,145.60973768571978,4.675391028140488,88.58837258272992,42.54374208820208,0.7911292717589495
1997,11,39.87686119687275,36.778079820397934,60.06083561160914,9.40808462622196,-0.5759641753481144,88.59215231086512,3.9868604009107234,90.36613708161585,46.0966569858699,0.31517436731022486
1997,12,65.31539419082061,64.8835584558735,29.499665814145622,3.6187558307615766,-3.7669200723528835,75.3800285365087,3.9615213883063847,95.86487901632943,63.86774600255751,0.1310854558950733
1998,1,16.140392784224506,12.207315052490411,40.13630791352732,4.480711547439881,-4.796421126933341,90.17158202095739,3.6394455398717174,94.67503281025621,59.5014850462066,0.19173762498778396
1998,2,29.570815542128937,30.138957319583298,53.76649135114974,8.662501363770378,-0.24832472905740507,100.10134147270936,3.9132555871950636,93.54929721697185,51.19916044238446,0.27552641473371303
1998,3,86.62324617626979,86.76745710955402,92.38944241545252,7.798888717574195,-1.504992305247395,146.40616004261963,5.072206310236836,78.89520660580511,46.20133663389775,0.39574750971432276
1998,4,57.898148821902296,61.05539083619041,145.1729985350903,18.052210527648434,5.648597004522182,205.46790622498898,5.149790484828852,82.02585372152859,40.553939545938576,0.6735498017143037
1998,5,34.070855102460655,38.275223365747706,204.96635938253613,27.83674754871287,14.693079205106145,270.71117976222433,4.043535484431365,89.52093974816256,42.661665641437295,1.0992590752359586
1998,6,171.38326675085713,170.26144107847048,226.07613274480198,29.13126011248586,16.87204498754185,278.81297639328955,5.0439328077872725,91.55185325069331,42.909451154995125,1.192029242069283
1998,7,190.54798958161874,188.15067831217036,185.67264169153034,30.79928724729595,21.05162058117822,261.15750344647927,3.210784320284504,96.6960958188139,52.89693582801755,0.9720996252400879
1998,8,66.94185291458867,69.39932895475656,190.1042556248065,31.65668799672121,19.671084213900148,247.91268884874316,3.2426314347912046,95.31772886279461,49.05624900740676,1.1580928731427025
1998,9,150.3912553699019,146.49945846109526,166.94154406307518,29.37847812388842,16.96270033529197,206.14613077250542,3.592786739889727,93.65670542853678,44.385613452724826,1.1638260770205904
1998,10,132.1931235224223,101.70095653251492,104.7830558202118,20.434491491719825,8.72298931359845,155.03245701395844,4.087031261313826,90.47990129287489,49.65203353727447,0.5747116150783648
1998,11,157.59234971206212,150.1325751976008,75.04295564165204,14.17910995097428,3.6622052197512875,94.49879980489335,4.4621682283649156,88.89455034278497,52.153893900158835,0.4247172511297374
1998,12,24.158915740245416,23.723503420214225,62.52745300033844,7.123414547487639,-4.404218784994839,82.84154314295236,3.79063566700001,79.87050087013695,41.25002026035251,0.3512562425150638
1999,1,32.70537918420147,33.50203590456893,45.47341164604809,2.733837875186113,-7.132915842915041,83.99036433845507,4.269440793669445,90.74312754304574,52.04716568250479,0.21205304417300586
