Year,Sector,waterUse_m3,GWuse_m3,SWuse_m3
2006,IND,18042558.22163205,7892371.863455801,10150186.358176246
2006,IRR,35032956.435836084,33990491.59565119,1042464.840184894
2006,MUN,124103518.69279058,36249391.55438867,87854127.13840191
2006,REC,222964.17695508606,222964.17695508606,0
2007,HYD,13301337.738922093,5217307.467548163,8084030.271373931
2007,IND,21737921.78910385,7508635.663794774,14229286.125309078
2007,IRR,24169065.15163647,23622423.005690545,546642.1459459256
2007,MUN,133099869.13566977,36574019.304394424,96525849.83127534
2007,REC,464085.2065588714,464085.2065588714,0
2008,HYD,10177470.976422798,3360645.936034914,6816825.040387883
2008,IND,41625275.446971945,9773086.290801225,31852189.15617072
2008,IRR,15784373.682360336,15561347.831313374,223025.85104696345
2008,MUN,126765717.87313259,33898843.8951214,92866873.97801119
2008,REC,183196.7225125547,183196.7225125547,0
2009,HYD,12083200.415433684,4711098.856237044,7372101.559196641
2009,IND,34711498.73415282,10810580.199180802,23900918.53497202
2009,IRR,6242232.196003131,6160748.385814743,81483.81018838784
2009,MUN,118280139.92436346,32256672.52033929,86023467.40402417
2009,REC,123002.8088402367,123002.8088402367,0
2010,HYD,9578319.508652475,3215403.4496636963,6362916.058988778
2010,IND,54181306.4551927,8041598.496162297,46139707.959030405
2010,IRR,17697392.99903113,17571676.53014829,125716.46888284119
2010,MUN,115370158.9124949,33888211.281681746,81481947.63081315
2010,REC,139926.1796513884,139926.1796513884,0
2011,HYD,8999680.843840567,2256260.307605136,6743420.536235431
2011,IND,50771222.56710889,8618522.621220013,42152699.94588888
2011,IRR,38148928.91457507,37295828.206090465,853100.7084846019
2011,MUN,114019644.31820089,38497843.921962135,75521800.39623876
2011,REC,108830.10252681591,108830.10252681591,0
2012,HYD,10761907.005871179,2943001.320659707,7818905.685211472
2012,IND,61535769.22411242,9132514.502926057,52403254.72118636
2012,IRR,48034077.030317485,47107362.12576805,926714.9045494368
2012,MUN,126816981.37830107,42257730.92435604,84559250.45394503
2012,REC,255922.8116543553,255922.8116543553,0
2013,HYD,9777156.780865133,4792163.2826006655,4984993.498264466
2013,IND,56078093.15088138,9020205.981617358,47057887.16926402
2013,IRR,30833135.801262476,30192946.392756946,640189.408505528
2013,MUN,115384134.26171431,37262499.526839934,78121634.73487438
2013,REC,169850.44903029074,165977.31606039157,3873.13296989915
2014,HYD,8967560.97679083,6096113.937527254,2871447.039263576
2014,IND,54480610.8230736,7868923.373724023,46611687.44934958
2014,IRR,31002986.250292763,30086213.20935396,916773.0409388038
2014,MUN,120950147.04473716,37452357.051275246,83497789.9934619
