FIPS,County,Crop,Domain,period,n_years,years_active,baseline_area_ha,baseline_withdrawal_m3,baseline_depth_m,basin_area_share,crop_area_share,crop_domain_county_share
20161,Riley,Soybeans,Alluvial,historical_2006_2023,18,18,401.5384422222222,511594.1300673884,0.12740850595427136,0.018421733932813277,0.06583251779892331,0.07079716177111825
20161,Riley,Soybeans,Non-alluvial,historical_2006_2023,18,9,15.895166777777778,19361.55324337059,0.12180780179317773,7.292366120100216e-4,0.0026060240808420372,0.037162606113169856
20161,Riley,Unknown,Alluvial,historical_2006_2023,18,1,16.07502722222222,14054.840271166235,0.08743276186641061,7.374882285532751e-4,0.33086534012031465,0.3739539748953975
20161,Riley,Unknown,Non-alluvial,historical_2006_2023,18,1,0.11241277777777776,317.278939324718,0.28224455048333397,5.157260339533391e-6,0.0023137436372049976,0.02008032128514056
20161,Riley,Wheat,Alluvial,historical_2006_2023,18,2,2.1358427777777775,890.8479937843056,0.041709436811223626,9.798794645113443e-5,0.268361581920904,0.268361581920904
20177,Shawnee,Alfalfa,Alluvial,historical_2006_2023,18,4,11.016452222222222,13762.230968592467,0.12492434670420936,5.054115132742724e-4,0.20579588408231836,0.21157167530224527
20177,Shawnee,Corn,Alluvial,historical_2006_2023,18,18,3207.8447505,3912069.879904399,0.12195321732121335,0.14716912822702674,0.3521400154004107,0.3794998304397263
20177,Shawnee,Corn,Non-alluvial,historical_2006_2023,18,4,3.7770693333333334,6426.440373622475,0.17014356387127857,1.7328394740832197e-4,4.146264413204865e-4,0.005751159646029817
20177,Shawnee,Golf Course/Turf/Sod,Alluvial,historical_2006_2023,18,18,31.45309522222222,77216.64829816102,0.24549777296196265,0.001443001443001443,0.11732640053673264,0.171994098844357
20177,Shawnee,Multi-Crop,Alluvial,historical_2006_2023,18,18,1013.4573980555555,1246921.992702955,0.1230364488034061,0.04649528059106329,0.17789946228602435,0.20688381186664706
20177,Shawnee,Multi-Crop,Non-alluvial,historical_2006_2023,18,7,14.096562333333333,9908.970761631583,0.07029352637416009,6.467204465774874e-4,0.0024744709190469144,0.01766222059465626
20177,Shawnee,Other Crop,Alluvial,historical_2006_2023,18,15,52.18201144444444,47121.7472650646,0.09030266553682537,0.0023940002496114004,0.10712142890109382,0.12220613400026326
20177,Shawnee,Other Crop,Non-alluvial,historical_2006_2023,18,2,0.22482555555555556,71.95310719027083,0.0320039717070735,1.0314520679066784e-5,4.6153136105598377e-4,0.0037390166386240416
20177,Shawnee,Sorghum,Alluvial,historical_2006_2023,18,2,2.6079764444444447,3390.704517880572,0.13001285058013112,1.196484398771747e-4,0.10051993067590989,0.10701107011070111
20177,Shawnee,Soybeans,Alluvial,historical_2006_2023,18,18,1538.1440383333334,1582801.8381378893,0.10290335616766717,0.07056679322583541,0.2521798267196718,0.27119752645974554
20177,Shawnee,Soybeans,Non-alluvial,historical_2006_2023,18,6,5.283400555555556,9449.156143301376,0.17884610572191956,2.4239123595806944e-4,8.662173394595173e-4,0.012352492838182344
20177,Shawnee,Unknown,Alluvial,historical_2006_2023,18,3,1.5962614444444445,522.8592455826347,0.032755238648554105,7.323309682137417e-5,0.03285515964831097,0.03713389121338913
