Year,FIPS,County,Crop,Domain,groundwater_irrigated_area_ha,groundwater_withdrawal_m3,n_pdiv
2008,20061,Geary,Corn,Non-alluvial,52.609179999999995,73774.54870371596,2
2008,20061,Geary,Golf Course/Turf/Sod,Non-alluvial,44.51546,77561.3379449868,1
2008,20061,Geary,Multi-Crop,Alluvial,57.465412,82630.94829730701,1
2008,20061,Geary,Multi-Crop,Non-alluvial,551.587018,706859.1018249703,8
2008,20061,Geary,Other Crop,Alluvial,19.829614,10743.626805038726,1
2008,20061,Geary,Other Crop,Non-alluvial,0.404686,3071.369775493275,1
2008,20061,Geary,Soybeans,Alluvial,31.160822,28370.0822635925,1
2008,20061,Geary,Soybeans,Non-alluvial,271.13962,223765.94014949197,7
2008,20085,Jackson,Soybeans,Non-alluvial,36.42174,70592.16556284342,1
2008,20087,Jefferson,Corn,Alluvial,539.851124,591232.5143732677,16
2008,20087,Jefferson,Golf Course/Turf/Sod,Non-alluvial,1.618744,1714.5397541910247,1
2008,20087,Jefferson,Multi-Crop,Alluvial,971.651086,1068034.9186772536,22
2008,20087,Jefferson,Other Crop,Alluvial,20.2343,12285.4791019731,2
2008,20087,Jefferson,Soybeans,Alluvial,318.892568,301882.34492137516,11
2008,20091,Johnson,Corn,Alluvial,106.837104,161216.07616745823,2
2008,20103,Leavenworth,Golf Course/Turf/Sod,Alluvial,0.404686,468.72309826805,1
2008,20103,Leavenworth,Golf Course/Turf/Sod,Non-alluvial,6.07029,1122.468472168225,1
2008,20103,Leavenworth,Other Crop,Alluvial,11.735893999999998,14382.398225803849,2
2008,20103,Leavenworth,Other Crop,Non-alluvial,1.214058,1110.13365379275,2
2008,20103,Leavenworth,Sorghum,Alluvial,24.28116,17293.415362415948,1
2008,20103,Leavenworth,Soybeans,Alluvial,82.555944,15961.25497786465,2
2008,20149,Pottawatomie,Alfalfa,Alluvial,78.91377,45157.770072613974,2
2008,20149,Pottawatomie,Corn,Alluvial,1837.27444,1421513.8088632408,41
2008,20149,Pottawatomie,Corn,Non-alluvial,340.745612,180014.33937168214,5
2008,20149,Pottawatomie,Golf Course/Turf/Sod,Alluvial,12.545266,23633.5120074101,1
2008,20149,Pottawatomie,Golf Course/Turf/Sod,Non-alluvial,17.806184,35770.973288877496,1
2008,20149,Pottawatomie,Multi-Crop,Alluvial,1919.021012,1008038.3620989433,33
2008,20149,Pottawatomie,Other Crop,Alluvial,44.920145999999995,30750.70221005917,5
2008,20149,Pottawatomie,Other Crop,Non-alluvial,28.732706,17934.82591794065,5
2008,20149,Pottawatomie,Soybeans,Alluvial,1579.8941439999999,1132990.0722425051,38
2008,20149,Pottawatomie,Soybeans,Non-alluvial,92.67309399999999,53915.49111920122,2
2008,20161,Riley,Alfalfa,Alluvial,52.609179999999995,17022.0493581555,3
2008,20161,Riley,Corn,Alluvial,233.099136,174759.7067437298,7
2008,20161,Riley,Corn,Non-alluvial,19.020242,16466.982531259124,1
2008,20161,Riley,Golf Course/Turf/Sod,Alluvial,26.709276,84962.2289702718,1
2008,20161,Riley,Multi-Crop,Alluvial,453.24832,367824.2839566645,12
2008,20161,Riley,Multi-Crop,Non-alluvial,80.93719999999999,52509.32182439708,2
2008,20161,Riley,Other Crop,Alluvial,152.566622,95039.77558303486,4
2008,20161,Riley,Other Crop,Non-alluvial,13.354638000000001,26791.225511531695,2
2008,20161,Riley,Soybeans,Alluvial,316.86913799999996,162671.5847357643,8
2008,20177,Shawnee,Alfalfa,Alluvial,79.318456,63363.961994815065,3
2008,20177,Shawnee,Corn,Alluvial,2605.975497,2801397.6057092533,75
2008,20177,Shawnee,Golf Course/Turf/Sod,Alluvial,30.756135999999998,66385.99249680644,2
2008,20177,Shawnee,Multi-Crop,Alluvial,1215.272058,1122086.0927985853,34
2008,20177,Shawnee,Multi-Crop,Non-alluvial,34.802996,27864.354710198022,2
2008,20177,Shawnee,Other Crop,Alluvial,157.018168,112542.8828578339,7
