Year,Crop,basin_water_m3,basin_irrigated_area_ha,alluvial_water_m3,alluvial_irrigated_area_ha,alluvial_water_fraction,alluvial_area_fraction,basin_depth_m,alluvial_depth_m
1996,Soybeans,5728437.671391095,3381.9579118653996,5368705.0282887425,3110.4138459491996,0.9372023117404374,0.9197080291970803,0.169382287440456,0.17260420298349025
1996,Unknown,175198616.58598432,152.16180146719998,149643907.2773205,59.0841037612,0.8541386353006845,0.38829787234042556,115.13968347946391,253.27270407982445
1996,Wheat,59404.4852962876,60.70284633,59404.4852962876,60.70284633,1,1,0.09786112000967123,0.09786112000967123
1997,Alfalfa,359942.335014736,262.6409817878,288153.69206947146,172.8007692194,0.8005551557520304,0.6579352850539291,0.13704728506747296,0.16675486652701835
1997,Corn,12801950.282172613,6567.845630084899,11113042.280565824,5784.7789124279,0.8680741633594156,0.8807726670569026,0.19491856239025412,0.19210833203479555
1997,Golf Course/Turf/Sod,1112107.224732826,396.18724371379994,66287.31394980264,31.5654800916,0.059605146406388636,0.07967313585291115,0.28070243107983467,0.20999938463613796
1997,Multi-Crop,14926487.06434605,8169.3890590914,11881008.0726229,6463.6390772183995,0.7959681351282116,0.7912022588794768,0.18271240304971076,0.18381298724581394
1997,Other Crop,781743.784182479,345.6015384388,655521.5877462433,263.45035307219996,0.8385376398377961,0.762295081967213,0.22619800470619497,0.24882167744394487
1997,Sorghum,279173.94429212564,128.6900342196,172280.40825025932,74.866843807,0.617107763000928,0.5817610062893082,0.21693516983275954,0.2301157621849036
1997,Soybeans,7263863.527951848,4237.4633594762,6051770.265467421,3386.8141395718,0.8331338057467341,0.7992550854741667,0.1714200905527062,0.1786862229833656
1997,Unknown,167659427.57707348,117.7635218802,143829261.56030318,109.265123394,0.8578656365397913,0.9278350515463917,142.3695766738636,131.63327610189765
1997,Wheat,715.4194657775499,30.351423164999996,715.4194657775499,30.351423164999996,1,1,0.0023571200002329446,0.0023571200002329446
1998,Alfalfa,114849.49389404772,110.4791803206,21931.30707159455,37.6357647246,0.1909569326602943,0.34065934065934067,0.10395578023005374,0.05827251613479109
1998,Corn,9917539.348796412,7439.133817741499,8301604.132698935,6273.2344825633,0.837062888357122,0.8432748538011697,0.13331578100052716,0.13233371326663412
1998,Golf Course/Turf/Sod,1115906.3487924722,378.7857610992,163831.05766305895,44.110734999799995,0.1468143431931733,0.11645299145299144,0.29460092310603725,0.3714085871926681
1998,Multi-Crop,9902700.562290717,7575.715221983999,8179267.404050974,6257.249399696399,0.8259633170367141,0.8259615384615385,0.13071637821804638,0.13071665969471874
