Domain,Year,crop_water_m3,crop_irrigated_area_ha,sector_irrigation_m3,irrigation_gw_m3,irrigation_sw_m3,gw_fraction,crop_minus_sector_m3,crop_to_sector_ratio
Entire basin,2000,34815481.253058076,20200.8955445185,35757935.38585462,30566148.657525316,5191786.728329305,0.8548074246371868,-942454.1327965409,0.9736434969573393
Entire basin,2001,36617129.49461671,20369.2447716737,37754597.10592951,30842251.232041948,6912345.873887561,0.8169137958354229,-1137467.6113127992,0.9698720765547739
Entire basin,2002,50146834.060942344,21237.700159834898,51340018.04685716,44471596.46120467,6868421.585652495,0.8662170009487764,-1193183.985914819,0.9767591825771113
Entire basin,2003,49248513.908293255,22214.4089572846,50251235.96367236,44270230.55122504,5981005.412447321,0.880977944168953,-1002722.0553791076,0.9800458230300246
Entire basin,2004,15447731.819256874,18440.310658127397,15564554.884090995,12500524.32553113,3064030.558559867,0.8031404957367779,-116823.06483412161,0.992494288098561
Entire basin,2005,35301830.806784675,23959.6157892721,35363504.89866206,30000893.2706508,5362611.628011258,0.8483574622091786,-61674.091877385974,0.998255996059946
Entire basin,2006,43737588.42413528,24940.978471607097,43737588.42413528,37554662.034881435,6182926.389253847,0.8586358642068619,0,1
Entire basin,2007,30713068.6791956,24349.732748352897,30713068.6791956,25783581.86362077,4929486.815574829,0.8394987206565274,0,1
Entire basin,2008,20329408.87880836,22833.173304208398,20329408.878808364,17055353.367769282,3274055.51103908,0.8389497928563974,-3.725290298461914e-9,0.9999999999999998
Entire basin,2009,9098581.417575127,17060.5349610465,9098581.417575128,7495906.131231284,1602675.286343842,0.8238543776452819,-1.862645149230957e-9,0.9999999999999998
Entire basin,2010,23344704.569966726,23557.1559181042,23344704.56996673,19397747.712090358,3946956.8578763674,0.8309271018595719,-3.725290298461914e-9,0.9999999999999999
Entire basin,2011,47358178.32261496,25570.4669880492,47358178.32261496,40677023.94953893,6681154.373076034,0.8589229018151322,0,1
Entire basin,2012,92743131.08006842,25798.5073474289,59415722.31582765,51519637.672040835,7896084.643786819,0.8671044576077905,33327408.76424077,1.5609190205092018
Entire basin,2013,39568271.795404226,27438.9005980866,39616550.27452584,32853862.75198791,6762687.522537923,0.8292964057780048,-48278.47912161797,0.9987813558023839
Entire basin,2014,39564571.34989159,27790.3700783373,39641330.92464217,33427912.864364143,6213418.060278022,0.8432590956118583,-76759.5747505799,0.9980636478907204
Entire basin,2015,15831011.630638009,22587.933805035198,16147473.730879197,11995413.513055429,4152060.2178237657,0.7428662658305686,-316462.10024118796,0.9804017578529322
Entire basin,2016,26704635.086535864,27110.7005422624,27008910.386222083,20949874.912731502,6059035.473490576,0.7756653124155114,-304275.29968621954,0.9887342623106544
Entire basin,2017,34444758.28678318,28899.613423607498,34455427.904677965,27437656.338135216,7017771.5665427465,0.7963231922134987,-10669.617894783616,0.9996903356439426
Entire basin,2018,46420892.47871774,29032.147971428,46420892.47871774,39094627.10460436,7326265.374113376,0.8421774123047678,0,1
Entire basin,2019,17467521.323785778,25309.444748830196,17467521.323785778,13924320.075793834,3543201.2479919447,0.7971548920815047,0,1
Entire basin,2020,24696625.33355554,28790.550643034596,24696625.33355554,18901777.000030886,5794848.333524653,0.7653586975848422,0,1
Entire basin,2021,35915352.33796243,29950.9867220431,35943710.08540765,28428635.646420877,7515074.438986772,0.7909210145215998,-28357.747445218265,0.9992110511859283
Entire basin,2022,38611533.94292889,29333.4364320459,38611533.94292888,30899867.16867379,7711666.774255092,0.8002755656987472,7.450580596923828e-9,1.0000000000000002
Entire basin,2023,43877933.987611435,30325.118598257,43900136.6606873,36131569.36926614,7768567.291421158,0.8230400203200748,-22202.67307586223,0.9994942459234815
