Year,FIPS,County,Crop,Domain,GWuse_m3,SWuse_m3,n_pdiv,n_missing_irrArea,water_with_area_m3,irrArea_ha,waterUse_m3,area_data_water_fraction,applied_depth_m
2005,20209,Wyandotte,Multi-Crop,Alluvial,4366.52570491815,0,1,0,4366.52570491815,16.18744,4366.52570491815,1,0.026974776153104816
2005,20209,Wyandotte,Other Crop,Alluvial,0,71924.32594739473,1,0,71924.32594739473,8.498406,71924.32594739473,1,0.8463272518092773
2005,20209,Wyandotte,Soybeans,Alluvial,306458.5625386764,0,5,0,306458.5625386764,146.496332,306458.5625386764,1,0.209191969761179
2006,20005,Atchison,Corn,Non-alluvial,14049.358129666025,0,2,0,14049.358129666025,29.137392,14049.358129666025,1,0.0482176240401544
2006,20005,Atchison,Soybeans,Non-alluvial,42505.78412188685,81668.83246401996,3,0,124174.6165859068,88.626234,124174.6165859068,1,0.1401104514786297
2006,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,0,4736.570256182399,1,0,4736.570256182399,6.474976,4736.570256182399,1,0.07315193533045372
2006,20045,Douglas,Corn,Alluvial,334125.5601548668,0,5,0,334125.5601548668,140.426042,334125.5601548668,1,0.23793703460991003
2006,20045,Douglas,Golf Course/Turf/Sod,Alluvial,19624.696035380723,0,1,0,19624.696035380723,7.284348,19624.696035380723,1,0.26940909516377753
2006,20045,Douglas,Multi-Crop,Alluvial,432471.067062529,0,5,0,432471.067062529,288.541118,432471.067062529,1,0.1498819544542449
2006,20045,Douglas,Multi-Crop,Non-alluvial,863.4372862832499,0,1,0,863.4372862832499,2.428116,863.4372862832499,1,0.035559968563415006
2006,20045,Douglas,Other Crop,Alluvial,461470.22506327066,0,6,0,461470.22506327066,159.446284,461470.22506327066,1,0.28942049540851683
2006,20045,Douglas,Soybeans,Alluvial,416534.48172141524,0,10,0,416534.48172141524,292.992664,416534.48172141524,1,0.14216549862880362
2006,20061,Geary,Corn,Alluvial,243637.3325523822,0,1,0,243637.3325523822,63.535702,243637.3325523822,1,0.3834652406176014
2006,20061,Geary,Corn,Non-alluvial,1096577.688398103,63339.29235806412,7,0,1159916.980756167,363.003342,1159916.980756167,1,0.3195334165149827
2006,20061,Geary,Golf Course/Turf/Sod,Non-alluvial,176535.9205897982,0,1,0,176535.9205897982,60.7029,176535.9205897982,1,0.29081958290262605
2006,20061,Geary,Multi-Crop,Alluvial,98678.54700379999,0,1,0,98678.54700379999,31.160822,98678.54700379999,1,0.31667504472057895
2006,20061,Geary,Multi-Crop,Non-alluvial,881520.1300216963,274289.3562154376,11,0,1155809.4862371339,566.965086,1155809.4862371339,1,0.20385902320573118
2006,20061,Geary,Soybeans,Alluvial,158206.38048384234,0,2,0,158206.38048384234,97.12464,158206.38048384234,1,0.16289005599798603
2006,20061,Geary,Soybeans,Non-alluvial,123718.22830601425,168098.9048209733,9,0,291817.13312698755,284.494258,291817.13312698755,1,0.10257399751350607
2006,20085,Jackson,Corn,Non-alluvial,55062.6292281204,0,1,0,55062.6292281204,40.4686,55062.6292281204,1,0.13606259971464393
2006,20085,Jackson,Golf Course/Turf/Sod,Non-alluvial,0,16985.044903029073,1,0,16985.044903029073,14.16401,16985.044903029073,1,0.11991692255956521
2006,20085,Jackson,Multi-Crop,Non-alluvial,0,48401.8273053639,1,0,48401.8273053639,48.56232,48401.8273053639,1,0.09966951188774321
2006,20085,Jackson,Other Crop,Non-alluvial,0,12.334818375474999,1,0,12.334818375474999,0.809372,12.334818375474999,1,0.001523998652717786
2006,20087,Jefferson,Alfalfa,Alluvial,28123.385896083,0,1,0,28123.385896083,20.2343,28123.385896083,1,0.1389886771278621
2006,20087,Jefferson,Corn,Alluvial,1573219.740063208,0,20,0,1573219.740063208,675.016248,1573219.740063208,1,0.2330639810114923
2006,20087,Jefferson,Golf Course/Turf/Sod,Non-alluvial,0,80274.9979875913,1,0,80274.9979875913,20.2343,80274.9979875913,1,0.3967273292754941
2006,20087,Jefferson,Multi-Crop,Alluvial,1255080.1045229565,0,18,0,1255080.1045229565,751.097216,1255080.1045229565,1,0.16709955486280972
2006,20087,Jefferson,Other Crop,Alluvial,107756.9733281496,0,6,0,107756.9733281496,146.496332,107756.9733281496,1,0.07355608966929601
2006,20087,Jefferson,Other Crop,Non-alluvial,4415.86497842005,0,1,0,4415.86497842005,0.809372,4415.86497842005,1,0.5455915176729674
2006,20087,Jefferson,Soybeans,Alluvial,393036.6527161354,0,10,0,393036.6527161354,329.414404,393036.6527161354,1,0.11931374218722245
2006,20091,Johnson,Golf Course/Turf/Sod,Non-alluvial,0,1124306.3601061706,11,0,1124306.3601061706,536.20895,1124306.3601061706,1,0.2096769104853939
2006,20091,Johnson,Other Crop,Non-alluvial,0,47600.064110958025,4,0,47600.064110958025,22.25773,47600.064110958025,1,0.21385857457592497
