Year,Crop,Domain,FIPS,County,GWuse_m3,SWuse_m3,n_pdiv,n_missing_irrArea,water_with_area_m3,irrArea_ha,waterUse_m3,area_data_water_fraction,applied_depth_m,annual_domain_area_share
2009,Corn,Non-alluvial,20197,Wabaunsee,14049.358129666025,14801.78205057,2,0,28851.140180236027,59.084156,28851.140180236027,1,0.04883058696858769,0.052461372619475394
2009,Soybeans,Alluvial,20045,Douglas,42209.74848087545,0,3,0,42209.74848087545,139.211984,42209.74848087545,1,0.03032048482325735,0.044882249331332766
2009,Soybeans,Alluvial,20061,Geary,19735.70940076,0,1,0,19735.70940076,31.160822,19735.70940076,1,0.06333500894411578,0.010046317437536695
2009,Soybeans,Alluvial,20087,Jefferson,59860.873576180165,0,5,0,59860.873576180165,157.82754,59860.873576180165,1,0.03792802800840726,0.0508839454628482
2009,Soybeans,Alluvial,20091,Johnson,0,0,0,0,0,0,0,NA,NA,0
2009,Soybeans,Alluvial,20103,Leavenworth,2874.012681485675,0,1,0,2874.012681485675,56.65604,2874.012681485675,1,0.005072738372617774,0.018266031704612173
2009,Soybeans,Alluvial,20149,Pottawatomie,475889.62774420093,0,35,0,475889.62774420093,1458.89303,475889.62774420093,1,0.03261991235534253,0.47035031639376346
2009,Soybeans,Alluvial,20161,Riley,110704.99491988812,0,7,0,110704.99491988812,238.76474,110704.99491988812,1,0.0463657217225157,0.07697827646943702
2009,Soybeans,Alluvial,20177,Shawnee,177016.97850644172,0,11,0,177016.97850644172,448.392088,177016.97850644172,1,0.03947816726561904,0.14456259377650205
2009,Soybeans,Alluvial,20197,Wabaunsee,145982.57547374663,0,13,0,145982.57547374663,476.92245099999997,145982.57547374663,1,0.03060928986833263,0.1537608454563246
2009,Soybeans,Alluvial,20209,Wyandotte,37312.82558581187,0,3,0,37312.82558581187,93.887152,37312.82558581187,1,0.039742206245442266,0.030269423967643032
2009,Soybeans,Non-alluvial,20005,Atchison,0,0,0,0,0,0,0,NA,NA,0
2009,Soybeans,Non-alluvial,20013,Brown,0,5340.976356580675,1,0,5340.976356580675,52.60918,5340.976356580675,1,0.010152175640412328,0.09885931558935361
2009,Soybeans,Non-alluvial,20061,Geary,9843.18506362905,82828.30539131461,5,0,92671.49045494366,108.45584799999999,92671.49045494366,1,0.08544628267066214,0.20380228136882125
2009,Soybeans,Non-alluvial,20085,Jackson,0,0,0,0,0,0,0,NA,NA,0
