Year,Crop,Domain,waterUse_m3,GWuse_m3,SWuse_m3,irrArea_ha,n_pdiv,water_with_area_m3,area_data_water_fraction,applied_depth_m
2008,Alfalfa,Alluvial,136386.08677762706,136386.08677762706,0,237.550682,9,136386.08677762706,1,0.057413468835095606
2008,Corn,Alluvial,6793820.604117622,6709450.446429373,84370.15768824899,7300.130754,184,6793820.604117622,1,0.09306436874976586
2008,Corn,Non-alluvial,995752.8829969702,290682.3298364438,705070.5531605264,1438.254044,32,995752.8829969702,1,0.0692334492053735
2008,Golf Course/Turf/Sod,Alluvial,197369.42882597545,175450.4565727564,21918.97225321907,86.198118,6,197369.42882597545,1,0.22897185391678213
2008,Golf Course/Turf/Sod,Non-alluvial,1454213.412376625,121744.65736593824,1332468.7550106868,753.120646,31,1454213.412376625,1,0.19309169388733302
2008,Multi-Crop,Alluvial,4048657.435382159,4048657.435382159,0,4989.77838,113,4048657.435382159,1,0.08113902316002577
2008,Multi-Crop,Non-alluvial,1380858.2474976752,856418.7746276048,524439.4728700706,1329.3935099999999,24,1380858.2474976752,1,0.10387129447455143
2008,Other Crop,Alluvial,377174.0762852745,313674.43128832924,63499.644996945295,538.637066,26,377174.0762852745,1,0.07002378783291428
2008,Other Crop,Non-alluvial,80953.41299824242,49585.96986940949,31367.443128832925,82.96063,18,80953.41299824242,1,0.09758051861255444
2008,Sorghum,Alluvial,17293.415362415948,17293.415362415948,0,24.28116,1,17293.415362415948,1,0.0712215370370112
2008,Sorghum,Non-alluvial,11360.367723812475,0,11360.367723812475,52.60918,1,11360.367723812475,1,0.02159388860235509
2008,Soybeans,Alluvial,3983097.8757165098,3929860.7996079596,53237.0761085501,5045.625048,133,3983097.8757165098,1,0.07894161452395956
2008,Soybeans,Non-alluvial,852471.6327474527,406148.5646492653,446323.06809818733,954.654274,27,852471.6327474527,1,0.08929637209663324
2009,Alfalfa,Non-alluvial,4329.521249791725,4329.521249791725,0,26.30459,1,4329.521249791725,1,0.016459185449352088
2009,Corn,Alluvial,2954781.0722082853,2949218.069120946,5563.003087339224,6006.349612,147,2954781.0722082853,1,0.049194290427333275
2009,Corn,Non-alluvial,560185.7765221971,351024.2613292675,209161.51519292957,1126.2411379999999,24,560185.7765221971,1,0.04973941704145042
2009,Golf Course/Turf/Sod,Alluvial,145328.83009984644,132685.64126498456,12643.188834861874,128.285462,10,145328.83009984644,1,0.11328550237426471
