Year,Crop,Domain,FIPS,County,groundwater_irrigated_area_ha,groundwater_withdrawal_m3,n_pdiv
2017,Soybeans,Non-alluvial,20085,Jackson,0,0,0
2017,Soybeans,Non-alluvial,20131,Nemaha,91.05435,96211.58332870499,3
2017,Soybeans,Non-alluvial,20139,Osage,46.943576,4835.248803186199,1
2017,Soybeans,Non-alluvial,20149,Pottawatomie,233.503822,108657.41506955927,3
2017,Soybeans,Non-alluvial,20161,Riley,0,0,0
2017,Soybeans,Non-alluvial,20177,Shawnee,12.14058,17379.759091044274,1
2017,Soybeans,Non-alluvial,20197,Wabaunsee,27.113962,75513.75809465794,1
2018,Corn,Alluvial,20045,Douglas,427.348416,820092.7345118308,10
2018,Corn,Alluvial,20061,Geary,0,0,0
2018,Corn,Alluvial,20087,Jefferson,911.150529,1828895.8553500536,30
2018,Corn,Alluvial,20091,Johnson,53.418552,63931.36364008692,2
2018,Corn,Alluvial,20103,Leavenworth,64.74976,4107.494519033175,1
2018,Corn,Alluvial,20149,Pottawatomie,2542.642138,5057670.248132765,66
2018,Corn,Alluvial,20161,Riley,642.236682,1154785.6963119693,17
2018,Corn,Alluvial,20177,Shawnee,3453.185638,5705827.94930885,105
2018,Corn,Alluvial,20197,Wabaunsee,1187.75341,2870102.5440606494,31
2018,Corn,Alluvial,20209,Wyandotte,0,0,0
2018,Corn,Non-alluvial,20005,Atchison,44.920146,36215.026750394594,2
2018,Corn,Non-alluvial,20061,Geary,112.907394,309332.575220162,4
2018,Corn,Non-alluvial,20085,Jackson,36.42174,87675.88901287629,1
2018,Corn,Non-alluvial,20131,Nemaha,120.19174199999999,212158.87605817,3
2018,Corn,Non-alluvial,20139,Osage,46.943576,42962.17240177942,1
2018,Corn,Non-alluvial,20149,Pottawatomie,136.379182,291212.7270265893,3
2018,Corn,Non-alluvial,20161,Riley,0,0,0
2018,Corn,Non-alluvial,20177,Shawnee,0,0,0
2018,Corn,Non-alluvial,20197,Wabaunsee,0,0,0
2018,Soybeans,Alluvial,20045,Douglas,484.813828,556534.6702830564,9
2018,Soybeans,Alluvial,20061,Geary,205.175802,299538.7294300349,4
2018,Soybeans,Alluvial,20087,Jefferson,568.58383,680154.2200420669,18
2018,Soybeans,Alluvial,20091,Johnson,0,0,0
2018,Soybeans,Alluvial,20103,Leavenworth,52.204494,140653.93393554143,3
2018,Soybeans,Alluvial,20149,Pottawatomie,2169.3193029999998,3078079.9166895333,53
2018,Soybeans,Alluvial,20161,Riley,394.16416399999997,450418.22779884504,10
2018,Soybeans,Alluvial,20177,Shawnee,1857.50874,2270975.7459270777,59
2018,Soybeans,Alluvial,20197,Wabaunsee,939.680892,1543270.8010475545,26
2018,Soybeans,Alluvial,20209,Wyandotte,93.887152,56838.84307418879,2
2018,Soybeans,Non-alluvial,20005,Atchison,57.060726,45244.113801242296,3
2018,Soybeans,Non-alluvial,20061,Geary,293.802036,172157.06006650458,7
2018,Soybeans,Non-alluvial,20085,Jackson,0,0,0
2018,Soybeans,Non-alluvial,20131,Nemaha,89.435606,115947.292729465,2
2018,Soybeans,Non-alluvial,20139,Osage,48.56232,3910.137425025575,1
2018,Soybeans,Non-alluvial,20149,Pottawatomie,150.138506,166507.71325053702,4
2018,Soybeans,Non-alluvial,20161,Riley,19.424928,20858.177872928223,1
2018,Soybeans,Non-alluvial,20177,Shawnee,0,0,0
2018,Soybeans,Non-alluvial,20197,Wabaunsee,0,0,0
2019,Corn,Alluvial,20045,Douglas,553.610448,327057.7092257196,11
2019,Corn,Alluvial,20061,Geary,205.175802,188710.386326392,4
2019,Corn,Alluvial,20087,Jefferson,1182.897178,930082.3099659414,36
2019,Corn,Alluvial,20091,Johnson,53.418552,37473.178224693045,2
2019,Corn,Alluvial,20103,Leavenworth,17.806184,7400.891025285,1
2019,Corn,Alluvial,20149,Pottawatomie,1942.4928,1739887.805952626,47
2019,Corn,Alluvial,20161,Riley,311.60821999999996,241367.7259712948,8
2019,Corn,Alluvial,20177,Shawnee,3269.86288,2035676.7505965165,96
2019,Corn,Alluvial,20197,Wabaunsee,946.560554,834129.7578231214,24
2019,Corn,Alluvial,20209,Wyandotte,0,0,0
2019,Corn,Non-alluvial,20005,Atchison,0,0,0
2019,Corn,Non-alluvial,20061,Geary,236.74131,207015.2567955969,6
2019,Corn,Non-alluvial,20085,Jackson,0,0,0
2019,Corn,Non-alluvial,20131,Nemaha,174.419666,100269.73857423627,4
2019,Corn,Non-alluvial,20139,Osage,48.56232,12026.447916088124,1
2019,Corn,Non-alluvial,20149,Pottawatomie,123.42922999999999,157108.58164842505,3
2019,Corn,Non-alluvial,20161,Riley,66.368504,62747.22107604132,3
2019,Corn,Non-alluvial,20177,Shawnee,0,0,0
2019,Corn,Non-alluvial,20197,Wabaunsee,0,0,0
2019,Soybeans,Alluvial,20045,Douglas,313.226964,183443.4188800642,6
2019,Soybeans,Alluvial,20061,Geary,0,0,0
2019,Soybeans,Alluvial,20087,Jefferson,279.030997,82569.27420542964,9
2019,Soybeans,Alluvial,20091,Johnson,0,0,0
