Year,Crop,waterUse_m3,GWuse_m3,SWuse_m3,irrArea_ha,n_pdiv,water_with_area_m3,area_data_water_fraction,applied_depth_m
2002,Unknown,1193183.9859148231,780621.3157103108,412562.6702045123,762.0237380000001,28,1193159.316278072,0.9999793245324758,0.15658094707737608
2003,Alfalfa,141258.34003593968,126308.540164864,14949.7998710757,131.52294999999998,7,141258.34003593968,1,0.10740204659030207
2003,Corn,16760908.918328317,15072210.608633913,1688698.3096944047,7889.555912999999,215,16662785.438151414,0.9941456945649526,0.2124442630631537
2003,Golf Course/Turf/Sod,2239484.95461449,514448.26998593577,1725036.684628554,842.960938,29,2229321.0642730985,0.9954615054142478,0.265668888516693
2003,Multi-Crop,14115201.39015431,13270328.00552615,844873.38462816,6744.092189999999,173,13910788.780035939,0.985518264708504,0.20929727815826776
2003,Other Crop,1654148.4834246992,1370719.0267930347,283429.45663166454,652.758518,43,1641418.950861209,0.9923044801049932,0.2534089464650539
2003,Sorghum,495156.61404669285,274462.0436726942,220694.57037399866,131.52295,4,495156.61404669285,1,0.37647924871415434
2003,Soybeans,13805807.14084227,12898593.58414446,907213.5566978108,5771.834075,165,12851585.591315525,0.9308825960125262,0.23919272386294768
2003,Unknown,1002722.0553791136,706612.4054574608,296109.64992165286,541.874554,20,893398.5601172787,0.890973281503715,0.18504689839691452
2003,Wheat,36548.06684653242,36548.06684653242,0,50.181064,3,36548.06684653242,1,0.0728323872258516
2004,Alfalfa,93423.91437584764,93423.91437584764,0,295.42078000000004,6,93423.91437584764,1,0.0316240158785877
2004,Corn,3370279.4291861607,2990700.063317668,379579.36586849217,4986.945578,125,3370279.4291861607,1,0.06758203747107666
2004,Golf Course/Turf/Sod,2058212.4637685092,548085.3196958561,1510127.1440726533,880.5967360000001,30,2058212.4637685092,1,0.23372928602003232
2004,Multi-Crop,4814476.9690419,4261100.012262965,553376.9567789349,6042.366666,134,4814476.9690419,1,0.07967866293405605
2004,Other Crop,782915.5919281492,695486.3992827823,87429.1926453668,734.100404,43,782915.5919281492,1,0.10664966095402792
2004,Sorghum,14530.416046309549,14530.416046309549,0,12.14058,1,14530.416046309549,1,0.11968469419343679
2004,Soybeans,4300990.814889251,3808794.557252672,492196.2576365789,5452.739164,156,4300990.814889251,1,0.07887761885412005
2004,Unknown,116823.06483412372,75501.42327628247,41321.64155784125,42.49203,6,116823.06483412372,1,0.27492935695028864
2004,Wheat,12902.220020746849,12902.220020746849,0,36.017054,2,12902.220020746849,1,0.035822530129051774
2005,Alfalfa,122114.7019172025,119351.7026010961,2762.9993161064003,93.887152,3,122114.7019172025,1,0.13006540225781105
2005,Corn,12195040.213644117,11115262.547873411,1079777.665770706,7966.243909999999,219,12195040.213644117,1,0.1530839420863793
2005,Golf Course/Turf/Sod,2563569.9726117197,355896.5145875801,2207673.45802414,867.2420979999999,32,2563569.9726117197,1,0.29560026877428175
2005,Multi-Crop,10560232.725432163,9729569.05157255,830663.6738596129,7852.527144,188,10560232.725432163,1,0.1344819639815073
2005,Other Crop,1323908.3910581071,1167206.8584160728,156701.5326420344,855.91089,45,1323908.3910581071,1,0.1546782973000971
2005,Soybeans,8536964.802121373,7513606.59560009,1023358.2065212833,6323.825779,176,8536964.802121373,1,0.134996837364981
2005,Unknown,61674.091877374995,0,61674.091877374995,0,1,0,0,NA
2006,Alfalfa,93830.96338223832,92104.08880967181,1726.8745725664999,91.45903600000001,4,93830.96338223832,1,0.1025934314267628
2006,Corn,17555542.587713167,15449915.082109332,2105627.505603835,9046.553187,236,17555542.587713167,1,0.1940578054959173
2006,Golf Course/Turf/Sod,2503376.058939402,508095.83852256613,1995280.220416836,1040.852392,33,2503376.058939402,1,0.24051211086032667
2006,Multi-Crop,13544518.683194585,12339419.26272905,1205099.420465532,7912.420672,188,13544518.683194585,1,0.17118046732683356
2006,Other Crop,1249652.7844377477,1136456.1562060136,113196.62823173407,759.5956219999999,50,1249652.7844377477,1,0.1645155327709021
2006,Soybeans,8790667.346468143,8028671.606504801,761995.7399633436,6090.119614,184,8790667.346468143,1,0.1443430983893996
2007,Alfalfa,105277.67483467913,103982.51890525426,1295.155929424875,69.605992,3,105277.67483467913,1,0.15124800582495704
2007,Corn,13623560.199344626,12017566.846857782,1605993.352486845,11030.121616,307,13623560.199344626,1,0.12351232990561639
2007,Golf Course/Turf/Sod,2298359.042720632,463135.42554395983,1835223.6171766722,828.392242,34,2298359.042720632,1,0.27744816117201543
2007,Multi-Crop,7778657.172852297,7013047.331104939,765609.8417473577,6419.1293319999995,150,7778657.172852297,1,0.12117931841745136
2007,Other Crop,916686.6972101756,783606.3417571757,133080.35545299976,766.475284,48,916686.6972101756,1,0.11959768518904722
2007,Sorghum,174044.28727795224,127134.97299602084,46909.31428193142,95.10121,3,174044.28727795224,1,0.18300954033913158
2007,Soybeans,5796464.19473184,5255089.016232242,541375.1784995978,5112.600581000001,127,5796464.19473184,1,0.11337604224889555
2007,Wheat,20019.410223395924,20019.410223395924,0,28.32802,1,20019.410223395924,1,0.07066999466745619
2008,Alfalfa,136386.08677762706,136386.08677762706,0,237.550682,9,136386.08677762706,1,0.057413468835095606
2008,Corn,7789573.4871145915,7000132.776265817,789440.7108487755,8738.384798,216,7789573.4871145915,1,0.0891420287293532
2008,Golf Course/Turf/Sod,1651582.8412026004,297195.11393869465,1354387.7272639058,839.318764,37,1651582.8412026004,1,0.19677658978235357
2008,Multi-Crop,5429515.682879834,4905076.210009764,524439.4728700706,6319.17189,137,5429515.682879834,1,0.08592131654896057
2008,Other Crop,458127.48928351694,363260.40115773876,94867.08812577822,621.597696,44,458127.48928351694,1,0.0737016067195199
2008,Sorghum,28653.783086228425,17293.415362415948,11360.367723812475,76.89034000000001,2,28653.783086228425,1,0.03726577758172017
2008,Soybeans,4835569.508463962,4336009.364257225,499560.1442067374,6000.279322,160,4835569.508463962,1,0.08058907342420486
2009,Alfalfa,4329.521249791725,4329.521249791725,0,26.30459,1,4329.521249791725,1,0.016459185449352088
2009,Corn,3514966.848730482,3300242.3304502135,214724.5182802688,7132.590749999999,171,3514966.848730482,1,0.049280366306316985
2009,Golf Course/Turf/Sod,1219296.7964157036,288400.3884369809,930896.4079787227,851.4593439999999,38,1219296.7964157036,1,0.14320082397448017
2009,Multi-Crop,2662976.273899673,2484565.4609168028,178410.81298287038,5074.357754,115,2662976.273899673,1,0.05247908017128887
2009,Other Crop,422529.2034518961,326774.00840308366,95755.19504881241,339.93624,31,422529.2034518961,1,0.12429660440201848
2009,Sorghum,727.754284153025,727.754284153025,0,2.02343,1,727.754284153025,1,0.03596636820413975
2009,Soybeans,1273755.0195434259,1090866.667490258,182888.35205316782,3633.877937,94,1273755.0195434259,1,0.035052223592160404
2010,Alfalfa,65769.2515780327,64474.09564860782,1295.155929424875,100.766814,4,65769.2515780327,1,0.06526876157663643
2010,Corn,7946497.046487385,7070835.955194039,875661.0912933457,9435.861119,235,7933459.1434645085,0.9983592892633566,0.08421591782954882
