Year,Crop_group,irrigated_area_ha,Denominator,denominator_ha,percent_irrigated
2012,Corn,8944.969092367699,Alluvial cultivated area,47147.310000000005,18.972384834612406
2012,Other/Unclassified,6254.0119145588,Total basin area,2204057.52,0.28374994108859736
2012,Other/Unclassified,6254.0119145588,Basin cultivated area,674384.67,0.9273656701832796
2012,Other/Unclassified,6254.0119145588,Total alluvial area,86777.1,7.206984232659076
2012,Other/Unclassified,6254.0119145588,Alluvial cultivated area,47147.310000000005,13.264832955599797
2012,Sorghum,52.609133486,Total basin area,2204057.52,0.0023869219840505795
2012,Sorghum,52.609133486,Basin cultivated area,674384.67,0.007801057145323306
2012,Sorghum,52.609133486,Total alluvial area,86777.1,0.060625595331026266
2012,Sorghum,52.609133486,Alluvial cultivated area,47147.310000000005,0.1115845919650559
2012,Soybeans,5448.6874865807995,Total basin area,2204057.52,0.24721167379428463
2012,Soybeans,5448.6874865807995,Basin cultivated area,674384.67,0.8079494877279461
2012,Soybeans,5448.6874865807995,Total alluvial area,86777.1,6.2789462733610595
2012,Soybeans,5448.6874865807995,Alluvial cultivated area,47147.310000000005,11.556730355519328
2013,Corn,10224.7874358252,Total basin area,2219532.21,0.4606730819114898
2013,Corn,10224.7874358252,Basin cultivated area,995945.31,1.02664145642949
2013,Corn,10224.7874358252,Total alluvial area,86777.1,11.782817627951612
2013,Corn,10224.7874358252,Alluvial cultivated area,50979.33,20.056731690717
2013,Other/Unclassified,6160.934216852799,Total basin area,2219532.21,0.27757804951399195
2013,Other/Unclassified,6160.934216852799,Basin cultivated area,995945.31,0.6186016596486407
2013,Other/Unclassified,6160.934216852799,Total alluvial area,86777.1,7.099723563996491
2013,Other/Unclassified,6160.934216852799,Alluvial cultivated area,50979.33,12.085161215050883
2013,Sorghum,132.3322049994,Total basin area,2219532.21,0.005962166460265066
2013,Sorghum,132.3322049994,Basin cultivated area,995945.31,0.013287095553409452
2013,Sorghum,132.3322049994,Total alluvial area,86777.1,0.15249668979419684
2013,Sorghum,132.3322049994,Alluvial cultivated area,50979.33,0.2595801180584366
2013,Soybeans,5181.3926199077,Total basin area,2219532.21,0.23344525466056198
2013,Soybeans,5181.3926199077,Basin cultivated area,995945.31,0.5202487092295961
2013,Soybeans,5181.3926199077,Total alluvial area,86777.1,5.970921614006113
2013,Soybeans,5181.3926199077,Alluvial cultivated area,50979.33,10.163712665324748
2014,Corn,9142.4556857613,Total basin area,2219944.41,0.4118326406993813
2014,Corn,9142.4556857613,Basin cultivated area,758620.35,1.2051424254254848
2014,Corn,9142.4556857613,Total alluvial area,86777.09999999999,10.53556259169908
2014,Corn,9142.4556857613,Alluvial cultivated area,47712.689999999995,19.161476088984507
2014,Other/Unclassified,5930.2634007988,Total basin area,2219944.41,0.26713567123956944
2014,Other/Unclassified,5930.2634007988,Basin cultivated area,758620.35,0.7817168891921763
2014,Other/Unclassified,5930.2634007988,Total alluvial area,86777.09999999999,6.8339036460066085
2014,Other/Unclassified,5930.2634007988,Alluvial cultivated area,47712.689999999995,12.429111418364382
2014,Sorghum,2.0234282109999997,Total basin area,2219944.41,9.114769729751925e-5
2014,Sorghum,2.0234282109999997,Basin cultivated area,758620.35,2.6672474723358e-4
2014,Sorghum,2.0234282109999997,Total alluvial area,86777.09999999999,0.0023317536665779337
2014,Sorghum,2.0234282109999997,Alluvial cultivated area,47712.689999999995,0.0042408596350362975
2014,Soybeans,6909.8049977439,Total basin area,2219944.41,0.3112602715012985
2014,Soybeans,6909.8049977439,Basin cultivated area,758620.35,0.9108383393279523
2014,Soybeans,6909.8049977439,Total alluvial area,86777.09999999999,7.962705595996985
2014,Soybeans,6909.8049977439,Alluvial cultivated area,47712.689999999995,14.482111567685452
2015,Corn,6808.026558730599,Total basin area,2165300.28,0.3144148930110793
2015,Corn,6808.026558730599,Basin cultivated area,752016.87,0.9053023715718771
2015,Corn,6808.026558730599,Total alluvial area,86777.1,7.845418386568115
2015,Corn,6808.026558730599,Alluvial cultivated area,49378.14,13.787531403026927
2015,Other/Unclassified,4863.1073623174,Total basin area,2165300.28,0.22459274619949712
2015,Other/Unclassified,4863.1073623174,Basin cultivated area,752016.87,0.6466753016215447
2015,Other/Unclassified,4863.1073623174,Total alluvial area,86777.1,5.604136762253405
2015,Other/Unclassified,4863.1073623174,Alluvial cultivated area,49378.14,9.848705038945168
2015,Soybeans,5814.3209643085,Total basin area,2165300.28,0.26852261637856994
2015,Soybeans,5814.3209643085,Basin cultivated area,752016.87,0.7731636345217229
2015,Soybeans,5814.3209643085,Total alluvial area,86777.1,6.7002941609116915
2015,Soybeans,5814.3209643085,Alluvial cultivated area,49378.14,11.77509109154071
2016,Corn,10021.0282149775,Total basin area,2196025.2,0.45632573865625486
2016,Corn,10021.0282149775,Basin cultivated area,788868.63,1.2703038039397636
2016,Corn,10021.0282149775,Total alluvial area,86777.09999999999,11.548010033727216
2016,Corn,10021.0282149775,Alluvial cultivated area,49771.89,20.133911360363246
2016,Other/Unclassified,5423.596976764399,Total basin area,2196025.2,0.24697334879237262
2016,Other/Unclassified,5423.596976764399,Basin cultivated area,788868.63,0.6875158639232998
2016,Other/Unclassified,5423.596976764399,Total alluvial area,86777.09999999999,6.250032527895493
2016,Other/Unclassified,5423.596976764399,Alluvial cultivated area,49771.89,10.896907826414466
2016,Sorghum,21.448339036599997,Total basin area,2196025.2,9.766891125202021e-4
2016,Sorghum,21.448339036599997,Basin cultivated area,788868.63,0.002718873361284501
2016,Sorghum,21.448339036599997,Total alluvial area,86777.09999999999,0.024716588865726093
2016,Sorghum,21.448339036599997,Alluvial cultivated area,49771.89,0.043093278227127794
2016,Soybeans,5721.850295065799,Total basin area,2196025.2,0.2605548558853423
2016,Soybeans,5721.850295065799,Basin cultivated area,788868.63,0.7253235934943693
2016,Soybeans,5721.850295065799,Total alluvial area,86777.09999999999,6.593733018349081
2016,Soybeans,5721.850295065799,Alluvial cultivated area,49771.89,11.496148317987924
2017,Corn,8539.6764217044,Total basin area,2194087.5,0.3892131203383822
2017,Corn,8539.6764217044,Basin cultivated area,797847.75,1.0703390993713275
2017,Corn,8539.6764217044,Total alluvial area,86777.1,9.84093317442551
2017,Corn,8539.6764217044,Alluvial cultivated area,49994.28,17.081306944923302
2017,Other/Unclassified,5959.400767037199,Total basin area,2194087.5,0.2716118097859451
2017,Other/Unclassified,5959.400767037199,Basin cultivated area,797847.75,0.7469345833258537
2017,Other/Unclassified,5959.400767037199,Total alluvial area,86777.1,6.867480898805328
2017,Other/Unclassified,5959.400767037199,Alluvial cultivated area,49994.28,11.92016520097339
2017,Soybeans,8097.557357600899,Total basin area,2194087.5,0.3690626448398662
2017,Soybeans,8097.557357600899,Basin cultivated area,797847.75,1.0149251354786548
2017,Soybeans,8097.557357600899,Total alluvial area,86777.1,9.331444998278231
2017,Soybeans,8097.557357600899,Alluvial cultivated area,49994.28,16.196967648300763
2018,Corn,9632.5299984655,Total basin area,2195761.95,0.4386873539941567
2018,Corn,9632.5299984655,Basin cultivated area,818229.87,1.1772400827246137
2018,Corn,9632.5299984655,Total alluvial area,86777.1,11.100313329744251
2018,Corn,9632.5299984655,Alluvial cultivated area,50167.71,19.200657152709383
2018,Other/Unclassified,5972.1483647665,Total basin area,2195761.95,0.27198523796108676
2018,Other/Unclassified,5972.1483647665,Basin cultivated area,818229.87,0.7298863783555714
2018,Other/Unclassified,5972.1483647665,Total alluvial area,86777.1,6.88217094690477
2018,Other/Unclassified,5972.1483647665,Alluvial cultivated area,50167.71,11.904367101401478
2018,Sorghum,44.1107349998,Total basin area,2195761.95,0.0020089033330685053
2018,Sorghum,44.1107349998,Basin cultivated area,818229.87,0.005390995442368781
2018,Sorghum,44.1107349998,Total alluvial area,86777.1,0.05083222993139896
2018,Sorghum,44.1107349998,Alluvial cultivated area,50167.71,0.0879265467764026
2018,Soybeans,6917.8987105879,Total basin area,2195761.95,0.3150568626343079
2018,Soybeans,6917.8987105879,Basin cultivated area,818229.87,0.8454712989869094
2018,Soybeans,6917.8987105879,Total alluvial area,86777.1,7.972032610663296
2018,Soybeans,6917.8987105879,Alluvial cultivated area,50167.71,13.789544530910222
2018,Wheat,16.187425687999998,Total basin area,2195761.95,7.372122323187173e-4
2018,Wheat,16.187425687999998,Basin cultivated area,818229.87,0.0019783469513279927
2018,Wheat,16.187425687999998,Total alluvial area,86777.1,0.018654029332623466
2018,Wheat,16.187425687999998,Alluvial cultivated area,50167.71,0.03226662267023948
2019,Corn,8659.0586861534,Total basin area,2127430.8,0.40701952261635965
2019,Corn,8659.0586861534,Basin cultivated area,854520.48,1.0133237164957591
2019,Corn,8659.0586861534,Total alluvial area,86777.1,9.978506640753608
2019,Corn,8659.0586861534,Alluvial cultivated area,49618.979999999996,17.451101748067778
2019,Other/Unclassified,5810.274107886499,Total basin area,2127430.8,0.2731122491921476
2019,Other/Unclassified,5810.274107886499,Basin cultivated area,854520.48,0.6799455652468972
2019,Other/Unclassified,5810.274107886499,Total alluvial area,86777.1,6.695630653578535
2019,Other/Unclassified,5810.274107886499,Alluvial cultivated area,49618.979999999996,11.709781434214285
2019,Sorghum,25.8998811008,Total basin area,2127430.8,0.0012174253141770815
2019,Sorghum,25.8998811008,Basin cultivated area,854520.48,0.003030925730510286
2019,Sorghum,25.8998811008,Total alluvial area,86777.1,0.029846446932197547
2019,Sorghum,25.8998811008,Alluvial cultivated area,49618.979999999996,0.052197528245844636
2019,Soybeans,4999.6887665599,Total basin area,2127430.8,0.2350106413125118
2019,Soybeans,4999.6887665599,Basin cultivated area,854520.48,0.5850870615248331
2019,Soybeans,4999.6887665599,Total alluvial area,86777.1,5.7615301347474155
2019,Soybeans,4999.6887665599,Alluvial cultivated area,49618.979999999996,10.076161917395117
2020,Corn,9794.4042553455,Total basin area,2151543.69,0.4552268355445527
2020,Corn,9794.4042553455,Basin cultivated area,876787.92,1.1170779195207776
2020,Corn,9794.4042553455,Total alluvial area,86777.1,11.286853623070487
2020,Corn,9794.4042553455,Alluvial cultivated area,50535.18,19.381358205007878
2020,Other/Unclassified,6383.7136628839,Total basin area,2151543.69,0.2967038825450902
2020,Other/Unclassified,6383.7136628839,Basin cultivated area,876787.92,0.7280795637426095
2020,Other/Unclassified,6383.7136628839,Total alluvial area,86777.1,7.356449642686722
2020,Other/Unclassified,6383.7136628839,Alluvial cultivated area,50535.18,12.63221712653225
2020,Sorghum,0.4046856422,Total basin area,2151543.69,1.8809083175066734e-5
2020,Sorghum,0.4046856422,Basin cultivated area,876787.92,4.6155476480560995e-5
2020,Sorghum,0.4046856422,Total alluvial area,86777.1,4.6635073331558667e-4
2020,Sorghum,0.4046856422,Alluvial cultivated area,50535.18,8.007998431983421e-4
2020,Soybeans,6123.500794949299,Total basin area,2151543.69,0.28460964206352224
2020,Soybeans,6123.500794949299,Basin cultivated area,876787.92,0.6984015923656086
2020,Soybeans,6123.500794949299,Total alluvial area,86777.1,7.056586121164798
2020,Soybeans,6123.500794949299,Alluvial cultivated area,50535.18,12.117302827355713
2020,Wheat,2.0234282109999997,Total basin area,2151543.69,9.404541587533367e-5
2020,Wheat,2.0234282109999997,Basin cultivated area,876787.92,2.3077738240280497e-4
2020,Wheat,2.0234282109999997,Total alluvial area,86777.1,0.0023317536665779333
2020,Wheat,2.0234282109999997,Alluvial cultivated area,50535.18,0.004003999215991711
2021,Corn,9288.1425169533,Total basin area,2151543.69,0.4316966724925441
2021,Corn,9288.1425169533,Basin cultivated area,876787.92,1.0593374184435957
