Region,Year,Crop,irrigated_area_ha,withdrawal_m3,implied_depth_m
Alluvial corridor,2022,Multi-Crop,5512.4254752273,7025752.194031678,0.12745301003351844
Alluvial corridor,2022,Other Crop,372.1084480029,573729.4070984686,0.15418338663840206
Alluvial corridor,2022,Sorghum,4.4515420642,3392.075053255625,0.07620000000753054
Alluvial corridor,2022,Soybeans,6668.6123549927,8339903.743754785,0.12506205638884996
Alluvial corridor,2022,Unknown,0,135491639.75794786,Inf
Alluvial corridor,2022,Wheat,21.0436533944,12741.867381865675,0.06054969231367619
Alluvial corridor,2023,Alfalfa,29.5420518806,30565.67993442705,0.10346498631159488
Alluvial corridor,2023,Corn,9592.2637770666,13159055.60896099,0.13718404658994007
Alluvial corridor,2023,Golf Course/Turf/Sod,280.04246440239996,1178123.1726783682,0.42069447403001486
Alluvial corridor,2023,Multi-Crop,5485.9185656632,7628752.125135149,0.13906061553454538
Alluvial corridor,2023,Other Crop,290.96897674179996,634984.1151510775,0.21823086511197023
Alluvial corridor,2023,Sorghum,4.8562277063999995,14740.107958692624,0.30353000002999664
Alluvial corridor,2023,Soybeans,6992.5632115738,10664881.324529693,0.15251748181378788
Alluvial corridor,2023,Unknown,0,121323188.95686664,Inf
Whole basin,2006,Alfalfa,91.4589551372,93830.96338223832,0.10259352213403271
Whole basin,2006,Corn,9046.5451885599,17555542.587713167,0.1940579770707783
Whole basin,2006,Golf Course/Turf/Sod,1040.8514717383998,2503376.058939402,0.2405123235074392
Whole basin,2006,Multi-Crop,7912.4136762944,13544518.683194583,0.17118061867485487
Whole basin,2006,Other Crop,759.5949504094,1249652.7844377477,0.16451567822616783
Whole basin,2006,Soybeans,6090.114229467799,8790667.346468143,0.1443432260093476
Whole basin,2006,Unknown,0,166798013.20100382,Inf
Whole basin,2007,Alfalfa,69.6059304584,105277.67483467911,0.15124813954983096
Whole basin,2007,Corn,11030.1118638032,13623560.199344628,0.12351243910818509
Whole basin,2007,Golf Course/Turf/Sod,828.3915095834,2298359.042720632,0.27744840647588026
Whole basin,2007,Multi-Crop,6419.123656576399,7778657.172852297,0.12117942555730414
Whole basin,2007,Other Crop,766.4746063268,916686.6972101756,0.11959779093050997
Whole basin,2007,Sorghum,95.101125917,174044.28727795224,0.18300970214574566
Whole basin,2007,Soybeans,5112.596060733699,5796464.19473184,0.11337614248953594
Whole basin,2007,Unknown,0,174709923.41676638,Inf
Whole basin,2007,Wheat,28.327994954,20019.410223395924,0.07067005714984118
Whole basin,2008,Alfalfa,237.5504719714,136386.08677762706,0.057413519596815336
Whole basin,2008,Corn,8738.3770720246,7789573.487114592,0.08914210754365882
Whole basin,2008,Golf Course/Turf/Sod,839.3180219228,1651582.8412026004,0.19677676376100883
Whole basin,2008,Multi-Crop,6319.166302953,5429515.682879834,0.08592139251569586
Whole basin,2008,Other Crop,621.5971464191999,458127.48928351694,0.07370167188228365
Whole basin,2008,Sorghum,76.89027201799999,28653.783086228425,0.03726581052999862
Whole basin,2008,Soybeans,6000.2740168994,4835569.508463962,0.08058914467647445
Whole basin,2008,Unknown,0,183381177.38654155,Inf
Whole basin,2009,Alfalfa,26.304566743,4329.521249791725,0.016459200001626595
Whole basin,2009,Corn,7132.584443774999,3514966.848730482,0.04928040987721061
Whole basin,2009,Golf Course/Turf/Sod,851.4585911887999,1219296.7964157036,0.14320095058449417
Whole basin,2009,Multi-Crop,5074.3532675458,2662976.273899673,0.05247912657030313
Whole basin,2009,Other Crop,339.935939448,422529.2034518961,0.12429671429799802
Whole basin,2009,Sorghum,2.0234282109999997,727.754284153025,0.035966400003554416
Whole basin,2009,Soybeans,3633.8747241349,1273755.019543426,0.03505225458334046
Whole basin,2009,Unknown,0,172456043.7291077,Inf
Whole basin,2010,Alfalfa,100.7667249078,65769.2515780327,0.06526881928355868
Whole basin,2010,Corn,9435.8527763563,7946497.046487385,0.08421599228846768
Whole basin,2010,Golf Course/Turf/Sod,819.2860826338999,1805570.7138020303,0.22038342308920367
Whole basin,2010,Multi-Crop,5780.934398826999,5750418.317736192,0.09947212545610275
Whole basin,2010,Other Crop,479.552486007,540573.4153051919,0.11272455697316541
Whole basin,2010,Sorghum,50.585705274999995,42703.14121589445,0.08441740800834263
Whole basin,2010,Soybeans,6890.177744097199,7193172.683842001,0.10439749090659348
Whole basin,2010,Unknown,0,189581310.8474292,Inf
Whole basin,2011,Alfalfa,79.3183858712,130502.3784125255,0.16452979593462716
Whole basin,2011,Corn,10528.7063531174,20168698.530194297,0.19155913227860735
Whole basin,2011,Golf Course/Turf/Sod,776.7940902029,2173740.3726732084,0.2798348236796477
Whole basin,2011,Multi-Crop,6317.5475603842,11235021.299480898,0.17783833350037564
Whole basin,2011,Other Crop,570.6067555019999,1162976.0157132847,0.2038139234243974
Whole basin,2011,Sorghum,48.96696270619999,82211.56447254086,0.16789190084303834
Whole basin,2011,Soybeans,7220.1988853113,12389560.299425358,0.1715958313091701
Whole basin,2011,Unknown,0,187361734.2896727,Inf
Whole basin,2011,Wheat,28.327994954,15467.862242845647,0.054602742862539015
Whole basin,2012,Alfalfa,110.8838659628,248706.9429047024,0.2242949781243559
Whole basin,2012,Corn,10586.3740571309,24828410.533079114,0.23453177073744985
Whole basin,2012,Golf Course/Turf/Sod,742.3958106158999,2880920.1797759407,0.3880571709296012
Whole basin,2012,Multi-Crop,7276.6525323982,49289687.53203058,0.6773676125467812
Whole basin,2012,Other Crop,682.0976499280999,2243345.7527660136,0.3288892364608623
Whole basin,2012,Sorghum,52.609133486,121436.28690655137,0.23082738463819635
Whole basin,2012,Soybeans,6347.494297906999,13130623.85260552,0.2068631059177976
Whole basin,2012,Unknown,84.1746135776,177070511.61819127,210.36094386694296
Whole basin,2013,Alfalfa,40.8732498622,41432.65492322052,0.10136863367338418
Whole basin,2013,Corn,12053.1571672848,17887225.85382969,0.1484028259614831
Whole basin,2013,Golf Course/Turf/Sod,824.5469959825,2717656.523758154,0.32959389058471966
