Year,Crop,irrigated_area_ha_Alluvial corridor,irrigated_area_ha_Whole basin,withdrawal_m3_Alluvial corridor,withdrawal_m3_Whole basin,area_capture,withdrawal_capture
2015,Unknown,343.98279586999996,533.7803620617999,141849819.24668047,162119675.62237203,0.6444275966641395,0.8749697943949354
2016,Alfalfa,18.210853899,18.210853899,76956.93184458851,76956.93184458851,1,1
2016,Corn,10021.0282149775,12366.9908828109,11507435.763303263,13947645.217341855,0.8103044879660989,0.8250450584300388
2016,Golf Course/Turf/Sod,117.358836238,837.0922508906999,308382.79420525045,2065860.0511613041,0.14019821126420112,0.14927574306492636
2016,Multi-Crop,4453.5654924109995,6439.7626243285995,3588482.3662483133,5775544.342767035,0.6915729277948847,0.6213236628928883
2016,Other Crop,425.7292955944,635.7611438962,432989.1294342989,674122.4938564596,0.6696371737746658,0.6423003732708776
2016,Sorghum,21.448339036599997,21.448339036599997,24928.667936834972,24928.667936834972,1,1
2016,Soybeans,5721.850295065799,6791.434447400399,3405014.2777314982,4139577.3816277855,0.8425098319628173,0.822551184293253
2016,Unknown,408.732498622,408.732498622,152077480.59907308,171301295.03725085,1,0.8877777635364789
2017,Alfalfa,16.187425687999998,16.187425687999998,10903.9794439199,10903.9794439199,1,1
2017,Corn,8539.6764217044,10042.6788968352,10047486.660382042,12250744.253427764,0.8503384912959382,0.8201531639655892
2017,Golf Course/Turf/Sod,117.358836238,870.8835020143999,486028.8484488414,2158617.885344876,0.13475836431226768,0.22515742677226547
2017,Multi-Crop,5491.584164653999,7790.198612349999,5487945.71752446,8983485.227313569,0.704935064935065,0.6108927191018024
2017,Other Crop,334.2703404572,474.6962583006,471621.78058628656,561406.9235413691,0.7041773231031543,0.840071186887551
2017,Soybeans,8097.557357600899,9704.9687284193,8891677.174144909,10479600.017711682,0.8343723286700163,0.8484748615516806
2017,Unknown,0,16.187425687999998,155809022.18884015,174677458.17480212,0,0.8919812769024835
2018,Alfalfa,29.5420518806,47.7529057796,36042.33929313795,40544.548000186325,0.6186440677966102,0.8889564952844539
2018,Corn,9632.5299984655,11483.1574402461,18148958.364938896,20561118.44199166,0.8388398442318197,0.8826834209501733
2018,Golf Course/Turf/Sod,446.3682633466,1137.3689974031,1382215.0775189777,2900076.1527130534,0.39245685821028287,0.47661337314397767
2018,Multi-Crop,5306.0357977053,7868.505284115699,8531882.856950678,11970965.903035238,0.6743384678684393,0.7127146569507327
2018,Other Crop,190.202251834,330.62816967739997,391408.45669057267,629051.067512474,0.5752753977968177,0.6222204792344798
2018,Sorghum,44.1107349998,44.1107349998,54963.95068111659,54963.95068111659,1,1
2018,Soybeans,6917.8987105879,8103.6276422339,9335582.617841505,10261249.062829023,0.8536792429274139,0.9097900811763053
2018,Unknown,0,0,143372700.59295335,163515446.66528565,NA,0.8768144142763205
2018,Wheat,16.187425687999998,16.187425687999998,456.388279892575,456.388279892575,1,1
2019,Corn,8659.0586861534,10635.341019837098,6437652.723525781,7938923.468004843,0.8141778124464908,0.8108974408772892
2019,Golf Course/Turf/Sod,366.2405061909999,1115.9206583665,467773.3172531384,1911958.5222905024,0.32819582955575693,0.2446566239798716
2019,Multi-Crop,5062.4150411008995,7176.4928359537,3369983.393545149,4554693.359236021,0.7054163024783601,0.7398924862222583
2019,Other Crop,381.6185605946,548.7537308231999,279482.31475151255,424367.09138984187,0.6954277286135694,0.6585862109057087
2019,Sorghum,25.8998811008,25.8998811008,1640.530843938175,1640.530843938175,1,1
2019,Soybeans,4999.6887665599,5807.036622748899,2378128.3131548287,2635938.352020632,0.8609707655319001,0.9021942077407942
2019,Unknown,0,0,125587273.99517646,146686572.89770848,NA,0.8561606663396141
2020,Alfalfa,29.5420518806,29.5420518806,10410.5867089009,10410.5867089009,1,1
2020,Corn,9794.4042553455,12100.100701779998,8527442.322335508,10459740.960127167,0.8094481605351171,0.8152632416846997
2020,Golf Course/Turf/Sod,398.2106719247999,1177.635218802,802762.3146942884,2423742.4715073355,0.3381443298969071,0.3312077599544011
2020,Multi-Crop,5709.5073829787,8045.352909757099,3898616.704662882,6348410.31257922,0.7096652498679611,0.6141091253881098
2020,Other Crop,246.4535560998,441.9167212824,281628.5731488452,513387.4756056449,0.5576923076923077,0.5485692318781384
2020,Sorghum,0.4046856422,0.4046856422,24.66963675095,24.66963675095,1,1
2020,Soybeans,6123.500794949299,6993.5749256793,4340610.251511277,4938441.8937154235,0.875589503225993,0.8789432669107766
2020,Unknown,0,0,139709543.23625994,163918980.24843934,NA,0.8523085186627746
2020,Wheat,2.0234282109999997,2.0234282109999997,2466.963675095,2466.963675095,1,1
2021,Alfalfa,29.5420518806,29.5420518806,19390.3344862467,19390.3344862467,1,1
2021,Corn,9288.1425169533,10951.400506395301,12129838.363711355,14034260.311974443,0.848123718197439,0.8643019364092756
2021,Golf Course/Turf/Sod,377.9763898148,1137.166654582,926788.9134596896,2659115.4757481497,0.33238434163701064,0.34853278163820056
2021,Multi-Crop,5508.5809616264,8584.596527988599,5764060.6268594675,9646605.063179104,0.6416819874605195,0.597522194503512
2021,Other Crop,292.5877193106,562.513042658,611745.3173316827,908718.4045396188,0.5201438848920863,0.6731956943709194
2021,Sorghum,2.4281138531999997,32.779537018199996,2935.6867733630497,42148.07438899807,0.07407407407407407,0.06965174129353234
2021,Soybeans,7284.948588063299,8605.640181383,7424475.198018908,8588166.63319797,0.8465318598636256,0.8645005989193598
2021,Unknown,0,3.6421707798,134692627.22803974,156216034.1907757,0,0.8622202447128383
2021,Wheat,47.3482201374,47.3482201374,16948.040447902647,16948.040447902647,1,1
2022,Alfalfa,29.5420518806,67.9871878896,9904.859155506423,59256.46747578189,0.43452380952380953,0.16715237302248126
2022,Corn,9225.0115567701,11176.8104091007,11923193.151467023,14290873.873457825,0.8253706754530477,0.8343221875053946
2022,Golf Course/Turf/Sod,307.1564024298,1113.6948873344,1150579.5232459323,2835589.7222460704,0.2757994186046512,0.4057637514409378
